# Program:featureCounts v2.0.0; Command:"/home/vera/bin/subread-2.0.0-source/bin/featureCounts" "-a" "/media/vera/big_data/coriandR/genom/bins.gtf" "-o" "output/15980MLL/patient.fc.tsv" "-T" "8" "output/15980MLL/patient.bam" 
Geneid	Chr	Start	End	Strand	Length	output/15980MLL/patient.bam
chr3-15	chr3	15000001	16000000	.	1000000	3110
chr3-16	chr3	16000001	17000000	.	1000000	3020
chr3-17	chr3	17000001	18000000	.	1000000	2598
chr3-18	chr3	18000001	19000000	.	1000000	2376
chr3-19	chr3	19000001	20000000	.	1000000	2463
chr3-20	chr3	20000001	21000000	.	1000000	2494
chr3-21	chr3	21000001	22000000	.	1000000	2174
chr3-22	chr3	22000001	23000000	.	1000000	2360
chr3-23	chr3	23000001	24000000	.	1000000	2979
chr3-24	chr3	24000001	25000000	.	1000000	2634
chr3-25	chr3	25000001	26000000	.	1000000	2641
chr3-26	chr3	26000001	27000000	.	1000000	2577
chr3-27	chr3	27000001	28000000	.	1000000	2863
chr3-28	chr3	28000001	29000000	.	1000000	2335
chr3-29	chr3	29000001	30000000	.	1000000	2079
chr3-30	chr3	30000001	31000000	.	1000000	2481
chr3-31	chr3	31000001	32000000	.	1000000	2846
chr3-32	chr3	32000001	33000000	.	1000000	3258
chr3-33	chr3	33000001	34000000	.	1000000	3021
chr3-34	chr3	34000001	35000000	.	1000000	2435
chr3-35	chr3	35000001	36000000	.	1000000	2124
chr3-36	chr3	36000001	37000000	.	1000000	2881
chr3-37	chr3	37000001	38000000	.	1000000	3095
chr3-38	chr3	38000001	39000000	.	1000000	3344
chr3-39	chr3	39000001	40000000	.	1000000	3166
chr3-40	chr3	40000001	41000000	.	1000000	3128
chr3-41	chr3	41000001	42000000	.	1000000	3121
chr3-42	chr3	42000001	43000000	.	1000000	3253
chr3-43	chr3	43000001	44000000	.	1000000	3230
chr3-44	chr3	44000001	45000000	.	1000000	3280
chr3-45	chr3	45000001	46000000	.	1000000	3462
chr3-46	chr3	46000001	47000000	.	1000000	3328
chr3-47	chr3	47000001	48000000	.	1000000	3222
chr3-48	chr3	48000001	49000000	.	1000000	3571
chr3-49	chr3	49000001	50000000	.	1000000	3533
chr3-50	chr3	50000001	51000000	.	1000000	3407
chr3-51	chr3	51000001	52000000	.	1000000	3238
chr3-52	chr3	52000001	53000000	.	1000000	3445
chr3-53	chr3	53000001	54000000	.	1000000	3449
chr3-54	chr3	54000001	55000000	.	1000000	3283
chr3-55	chr3	55000001	56000000	.	1000000	3024
chr3-56	chr3	56000001	57000000	.	1000000	3026
chr3-57	chr3	57000001	58000000	.	1000000	3081
chr3-58	chr3	58000001	59000000	.	1000000	3049
chr3-59	chr3	59000001	60000000	.	1000000	3029
chr3-60	chr3	60000001	61000000	.	1000000	2739
chr3-61	chr3	61000001	62000000	.	1000000	3112
chr3-62	chr3	62000001	63000000	.	1000000	2817
chr3-63	chr3	63000001	64000000	.	1000000	2827
chr3-64	chr3	64000001	65000000	.	1000000	2972
chr3-65	chr3	65000001	66000000	.	1000000	2932
chr3-66	chr3	66000001	67000000	.	1000000	3041
chr3-67	chr3	67000001	68000000	.	1000000	2567
chr3-68	chr3	68000001	69000000	.	1000000	2725
chr3-69	chr3	69000001	70000000	.	1000000	2894
chr3-70	chr3	70000001	71000000	.	1000000	2398
chr3-71	chr3	71000001	72000000	.	1000000	3270
chr3-72	chr3	72000001	73000000	.	1000000	3051
chr3-73	chr3	73000001	74000000	.	1000000	3039
chr3-74	chr3	74000001	75000000	.	1000000	2479
chr3-75	chr3	75000001	76000000	.	1000000	3030
chr3-76	chr3	76000001	77000000	.	1000000	1887
chr3-77	chr3	77000001	78000000	.	1000000	2077
chr3-78	chr3	78000001	79000000	.	1000000	2237
chr3-79	chr3	79000001	80000000	.	1000000	1792
chr3-80	chr3	80000001	81000000	.	1000000	2022
chr3-81	chr3	81000001	82000000	.	1000000	2113
chr3-82	chr3	82000001	83000000	.	1000000	2012
chr3-83	chr3	83000001	84000000	.	1000000	1520
chr3-84	chr3	84000001	85000000	.	1000000	1827
chr3-85	chr3	85000001	86000000	.	1000000	1640
chr3-86	chr3	86000001	87000000	.	1000000	1935
chr3-87	chr3	87000001	88000000	.	1000000	2296
chr3-88	chr3	88000001	89000000	.	1000000	1989
chr3-89	chr3	89000001	90000000	.	1000000	1824
chr3-90	chr3	90000001	91000000	.	1000000	1557
chr3-91	chr3	91000001	92000000	.	1000000	1449
chr3-92	chr3	92000001	93000000	.	1000000	1487
chr3-93	chr3	93000001	94000000	.	1000000	6583
chr3-94	chr3	94000001	95000000	.	1000000	2006
chr3-95	chr3	95000001	96000000	.	1000000	1801
chr3-96	chr3	96000001	97000000	.	1000000	1919
chr3-97	chr3	97000001	98000000	.	1000000	1942
chr3-98	chr3	98000001	99000000	.	1000000	2558
chr3-99	chr3	99000001	100000000	.	1000000	2476
chr3-100	chr3	100000001	101000000	.	1000000	2841
chr3-101	chr3	101000001	102000000	.	1000000	2849
chr3-102	chr3	102000001	103000000	.	1000000	2184
chr3-103	chr3	103000001	104000000	.	1000000	1794
chr3-104	chr3	104000001	105000000	.	1000000	1867
chr3-105	chr3	105000001	106000000	.	1000000	1935
chr3-106	chr3	106000001	107000000	.	1000000	2302
chr3-107	chr3	107000001	108000000	.	1000000	2760
chr3-108	chr3	108000001	109000000	.	1000000	2485
chr3-109	chr3	109000001	110000000	.	1000000	2609
chr3-110	chr3	110000001	111000000	.	1000000	2081
chr3-111	chr3	111000001	112000000	.	1000000	2669
chr3-112	chr3	112000001	113000000	.	1000000	2812
chr3-113	chr3	113000001	114000000	.	1000000	2865
chr3-114	chr3	114000001	115000000	.	1000000	2287
chr3-115	chr3	115000001	116000000	.	1000000	2312
chr3-116	chr3	116000001	117000000	.	1000000	2187
chr3-117	chr3	117000001	118000000	.	1000000	2082
chr3-118	chr3	118000001	119000000	.	1000000	2508
chr3-119	chr3	119000001	120000000	.	1000000	2800
chr3-120	chr3	120000001	121000000	.	1000000	2780
chr3-121	chr3	121000001	122000000	.	1000000	2526
chr3-122	chr3	122000001	123000000	.	1000000	2990
chr3-123	chr3	123000001	124000000	.	1000000	3072
chr3-124	chr3	124000001	125000000	.	1000000	3264
chr3-125	chr3	125000001	126000000	.	1000000	3073
chr3-126	chr3	126000001	127000000	.	1000000	3323
chr3-127	chr3	127000001	128000000	.	1000000	3373
chr3-128	chr3	128000001	129000000	.	1000000	3438
chr3-129	chr3	129000001	130000000	.	1000000	3440
chr3-130	chr3	130000001	131000000	.	1000000	2762
chr3-131	chr3	131000001	132000000	.	1000000	2811
chr3-132	chr3	132000001	133000000	.	1000000	2741
chr3-133	chr3	133000001	134000000	.	1000000	3117
chr3-134	chr3	134000001	135000000	.	1000000	3143
chr3-135	chr3	135000001	136000000	.	1000000	3182
chr3-136	chr3	136000001	137000000	.	1000000	3008
chr3-137	chr3	137000001	138000000	.	1000000	2735
chr3-138	chr3	138000001	139000000	.	1000000	3155
chr3-139	chr3	139000001	140000000	.	1000000	3162
chr3-140	chr3	140000001	141000000	.	1000000	2980
chr3-141	chr3	141000001	142000000	.	1000000	3065
chr3-142	chr3	142000001	143000000	.	1000000	2823
chr3-143	chr3	143000001	144000000	.	1000000	2771
chr3-144	chr3	144000001	145000000	.	1000000	2093
chr3-145	chr3	145000001	146000000	.	1000000	1931
chr3-146	chr3	146000001	147000000	.	1000000	2132
chr3-147	chr3	147000001	148000000	.	1000000	2121
chr3-148	chr3	148000001	149000000	.	1000000	2158
chr3-149	chr3	149000001	150000000	.	1000000	2775
chr3-150	chr3	150000001	151000000	.	1000000	2914
chr3-151	chr3	151000001	152000000	.	1000000	2698
chr3-152	chr3	152000001	153000000	.	1000000	2382
chr3-153	chr3	153000001	154000000	.	1000000	2589
chr3-154	chr3	154000001	155000000	.	1000000	2313
chr3-155	chr3	155000001	156000000	.	1000000	2978
chr3-156	chr3	156000001	157000000	.	1000000	2847
chr3-157	chr3	157000001	158000000	.	1000000	2797
chr3-158	chr3	158000001	159000000	.	1000000	2517
chr3-159	chr3	159000001	160000000	.	1000000	2846
chr3-160	chr3	160000001	161000000	.	1000000	2778
chr3-161	chr3	161000001	162000000	.	1000000	2574
chr3-162	chr3	162000001	163000000	.	1000000	1851
chr3-163	chr3	163000001	164000000	.	1000000	1809
chr3-164	chr3	164000001	165000000	.	1000000	1858
chr3-165	chr3	165000001	166000000	.	1000000	1936
chr3-166	chr3	166000001	167000000	.	1000000	1858
chr3-167	chr3	167000001	168000000	.	1000000	2052
chr3-168	chr3	168000001	169000000	.	1000000	2391
chr3-169	chr3	169000001	170000000	.	1000000	2558
chr3-170	chr3	170000001	171000000	.	1000000	2846
chr3-171	chr3	171000001	172000000	.	1000000	2911
chr3-172	chr3	172000001	173000000	.	1000000	2892
chr3-173	chr3	173000001	174000000	.	1000000	2157
chr3-174	chr3	174000001	175000000	.	1000000	2054
chr3-175	chr3	175000001	176000000	.	1000000	1923
chr3-176	chr3	176000001	177000000	.	1000000	2146
chr3-177	chr3	177000001	178000000	.	1000000	2945
chr3-178	chr3	178000001	179000000	.	1000000	2192
chr3-179	chr3	179000001	180000000	.	1000000	2793
chr3-180	chr3	180000001	181000000	.	1000000	2293
chr3-181	chr3	181000001	182000000	.	1000000	2565
chr3-182	chr3	182000001	183000000	.	1000000	2649
chr3-183	chr3	183000001	184000000	.	1000000	3338
chr3-184	chr3	184000001	185000000	.	1000000	3257
chr3-185	chr3	185000001	186000000	.	1000000	3150
chr3-186	chr3	186000001	187000000	.	1000000	3358
chr3-187	chr3	187000001	188000000	.	1000000	3177
chr3-188	chr3	188000001	189000000	.	1000000	2847
chr3-189	chr3	189000001	190000000	.	1000000	2582
chr3-190	chr3	190000001	191000000	.	1000000	2621
chr3-191	chr3	191000001	192000000	.	1000000	2510
chr3-192	chr3	192000001	193000000	.	1000000	2609
chr3-193	chr3	193000001	194000000	.	1000000	2839
chr3-194	chr3	194000001	195000000	.	1000000	3334
chr3-195	chr3	195000001	196000000	.	1000000	3677
chr3-196	chr3	196000001	197000000	.	1000000	3378
chr3-197	chr3	197000001	198000000	.	1000000	3272
chr3-198	chr3	198000001	198295559	.	295559	759
chr4-0	chr4	1	1000000	.	1000000	3352
chr4-1	chr4	1000001	2000000	.	1000000	3212
chr4-2	chr4	2000001	3000000	.	1000000	3464
chr4-3	chr4	3000001	4000000	.	1000000	3336
chr4-4	chr4	4000001	5000000	.	1000000	3287
chr4-5	chr4	5000001	6000000	.	1000000	3225
chr4-6	chr4	6000001	7000000	.	1000000	3457
chr4-7	chr4	7000001	8000000	.	1000000	3610
chr4-8	chr4	8000001	9000000	.	1000000	3564
chr4-9	chr4	9000001	10000000	.	1000000	3497
chr4-10	chr4	10000001	11000000	.	1000000	3168
chr4-11	chr4	11000001	12000000	.	1000000	2718
chr4-12	chr4	12000001	13000000	.	1000000	2408
chr4-13	chr4	13000001	14000000	.	1000000	2859
chr4-14	chr4	14000001	15000000	.	1000000	2661
chr4-15	chr4	15000001	16000000	.	1000000	3020
chr4-16	chr4	16000001	17000000	.	1000000	3017
chr4-17	chr4	17000001	18000000	.	1000000	2765
chr4-18	chr4	18000001	19000000	.	1000000	2482
chr4-19	chr4	19000001	20000000	.	1000000	2152
chr4-20	chr4	20000001	21000000	.	1000000	2397
chr4-21	chr4	21000001	22000000	.	1000000	2468
chr4-22	chr4	22000001	23000000	.	1000000	2563
chr4-23	chr4	23000001	24000000	.	1000000	2451
chr4-24	chr4	24000001	25000000	.	1000000	2981
chr4-25	chr4	25000001	26000000	.	1000000	3220
chr4-26	chr4	26000001	27000000	.	1000000	2845
chr4-27	chr4	27000001	28000000	.	1000000	2488
chr4-28	chr4	28000001	29000000	.	1000000	1933
chr4-29	chr4	29000001	30000000	.	1000000	1772
chr4-30	chr4	30000001	31000000	.	1000000	2012
chr4-31	chr4	31000001	32000000	.	1000000	1850
chr4-32	chr4	32000001	33000000	.	1000000	1801
chr4-33	chr4	33000001	34000000	.	1000000	1773
chr4-34	chr4	34000001	35000000	.	1000000	1675
chr4-35	chr4	35000001	36000000	.	1000000	1926
chr4-36	chr4	36000001	37000000	.	1000000	2274
chr4-37	chr4	37000001	38000000	.	1000000	2860
chr4-38	chr4	38000001	39000000	.	1000000	3419
chr4-39	chr4	39000001	40000000	.	1000000	3070
chr4-40	chr4	40000001	41000000	.	1000000	3291
chr4-41	chr4	41000001	42000000	.	1000000	3195
chr4-42	chr4	42000001	43000000	.	1000000	2925
chr4-43	chr4	43000001	44000000	.	1000000	2248
chr4-44	chr4	44000001	45000000	.	1000000	1989
chr4-45	chr4	45000001	46000000	.	1000000	1869
chr4-46	chr4	46000001	47000000	.	1000000	1903
chr4-47	chr4	47000001	48000000	.	1000000	2477
chr4-48	chr4	48000001	49000000	.	1000000	2876
chr4-49	chr4	49000001	50000000	.	1000000	5522
chr4-50	chr4	50000001	51000000	.	1000000	1491
chr4-51	chr4	51000001	52000000	.	1000000	1454
chr4-52	chr4	52000001	53000000	.	1000000	3026
chr4-53	chr4	53000001	54000000	.	1000000	2861
chr4-54	chr4	54000001	55000000	.	1000000	3050
chr4-55	chr4	55000001	56000000	.	1000000	2873
chr4-56	chr4	56000001	57000000	.	1000000	3177
chr4-57	chr4	57000001	58000000	.	1000000	2693
chr4-58	chr4	58000001	59000000	.	1000000	1854
chr4-59	chr4	59000001	60000000	.	1000000	1721
chr4-60	chr4	60000001	61000000	.	1000000	1823
chr4-61	chr4	61000001	62000000	.	1000000	2075
chr4-62	chr4	62000001	63000000	.	1000000	1832
chr4-63	chr4	63000001	64000000	.	1000000	1680
chr4-64	chr4	64000001	65000000	.	1000000	1851
chr4-65	chr4	65000001	66000000	.	1000000	1647
chr4-66	chr4	66000001	67000000	.	1000000	1873
chr4-67	chr4	67000001	68000000	.	1000000	2462
chr4-68	chr4	68000001	69000000	.	1000000	2364
chr4-69	chr4	69000001	70000000	.	1000000	1925
chr4-70	chr4	70000001	71000000	.	1000000	2296
chr4-71	chr4	71000001	72000000	.	1000000	2507
chr4-72	chr4	72000001	73000000	.	1000000	2445
chr4-73	chr4	73000001	74000000	.	1000000	2429
chr4-74	chr4	74000001	75000000	.	1000000	2445
chr4-75	chr4	75000001	76000000	.	1000000	2824
chr4-76	chr4	76000001	77000000	.	1000000	3037
chr4-77	chr4	77000001	78000000	.	1000000	3080
chr4-78	chr4	78000001	79000000	.	1000000	2638
chr4-79	chr4	79000001	80000000	.	1000000	2137
chr4-80	chr4	80000001	81000000	.	1000000	2272
chr4-81	chr4	81000001	82000000	.	1000000	2795
chr4-82	chr4	82000001	83000000	.	1000000	3128
chr4-83	chr4	83000001	84000000	.	1000000	3049
chr4-84	chr4	84000001	85000000	.	1000000	2392
chr4-85	chr4	85000001	86000000	.	1000000	2384
chr4-86	chr4	86000001	87000000	.	1000000	2700
chr4-87	chr4	87000001	88000000	.	1000000	3011
chr4-88	chr4	88000001	89000000	.	1000000	2930
chr4-89	chr4	89000001	90000000	.	1000000	2523
chr4-90	chr4	90000001	91000000	.	1000000	2085
chr4-91	chr4	91000001	92000000	.	1000000	1765
chr4-92	chr4	92000001	93000000	.	1000000	1854
chr4-93	chr4	93000001	94000000	.	1000000	2061
chr4-94	chr4	94000001	95000000	.	1000000	2545
chr4-95	chr4	95000001	96000000	.	1000000	2212
chr4-96	chr4	96000001	97000000	.	1000000	1919
chr4-97	chr4	97000001	98000000	.	1000000	1897
chr4-98	chr4	98000001	99000000	.	1000000	2791
chr4-99	chr4	99000001	100000000	.	1000000	2814
chr4-100	chr4	100000001	101000000	.	1000000	2258
chr4-101	chr4	101000001	102000000	.	1000000	2285
chr4-102	chr4	102000001	103000000	.	1000000	2682
chr4-103	chr4	103000001	104000000	.	1000000	2099
chr4-104	chr4	104000001	105000000	.	1000000	1708
chr4-105	chr4	105000001	106000000	.	1000000	1807
chr4-106	chr4	106000001	107000000	.	1000000	1905
chr4-107	chr4	107000001	108000000	.	1000000	2471
chr4-108	chr4	108000001	109000000	.	1000000	3031
chr4-109	chr4	109000001	110000000	.	1000000	2617
chr4-110	chr4	110000001	111000000	.	1000000	2640
chr4-111	chr4	111000001	112000000	.	1000000	2159
chr4-112	chr4	112000001	113000000	.	1000000	2973
chr4-113	chr4	113000001	114000000	.	1000000	2413
chr4-114	chr4	114000001	115000000	.	1000000	1948
chr4-115	chr4	115000001	116000000	.	1000000	1704
chr4-116	chr4	116000001	117000000	.	1000000	1726
chr4-117	chr4	117000001	118000000	.	1000000	1839
chr4-118	chr4	118000001	119000000	.	1000000	2769
chr4-119	chr4	119000001	120000000	.	1000000	2525
chr4-120	chr4	120000001	121000000	.	1000000	2335
chr4-121	chr4	121000001	122000000	.	1000000	2583
chr4-122	chr4	122000001	123000000	.	1000000	2525
chr4-123	chr4	123000001	124000000	.	1000000	2693
chr4-124	chr4	124000001	125000000	.	1000000	2112
chr4-125	chr4	125000001	126000000	.	1000000	2062
chr4-126	chr4	126000001	127000000	.	1000000	1895
chr4-127	chr4	127000001	128000000	.	1000000	2678
chr4-128	chr4	128000001	129000000	.	1000000	2957
chr4-129	chr4	129000001	130000000	.	1000000	2154
chr4-130	chr4	130000001	131000000	.	1000000	1869
chr4-131	chr4	131000001	132000000	.	1000000	2110
chr4-132	chr4	132000001	133000000	.	1000000	1770
chr4-133	chr4	133000001	134000000	.	1000000	1736
chr4-134	chr4	134000001	135000000	.	1000000	1614
chr4-135	chr4	135000001	136000000	.	1000000	1793
chr4-136	chr4	136000001	137000000	.	1000000	1928
chr4-137	chr4	137000001	138000000	.	1000000	1914
chr4-138	chr4	138000001	139000000	.	1000000	2655
chr4-139	chr4	139000001	140000000	.	1000000	3116
chr4-140	chr4	140000001	141000000	.	1000000	2972
chr4-141	chr4	141000001	142000000	.	1000000	2507
chr4-142	chr4	142000001	143000000	.	1000000	2251
chr4-143	chr4	143000001	144000000	.	1000000	2696
chr4-144	chr4	144000001	145000000	.	1000000	2396
chr4-145	chr4	145000001	146000000	.	1000000	2784
chr4-146	chr4	146000001	147000000	.	1000000	2344
chr4-147	chr4	147000001	148000000	.	1000000	2831
chr4-148	chr4	148000001	149000000	.	1000000	2678
chr4-149	chr4	149000001	150000000	.	1000000	2101
chr4-150	chr4	150000001	151000000	.	1000000	2597
chr4-151	chr4	151000001	152000000	.	1000000	2936
chr4-152	chr4	152000001	153000000	.	1000000	2720
chr4-153	chr4	153000001	154000000	.	1000000	3189
chr4-154	chr4	154000001	155000000	.	1000000	2617
chr4-155	chr4	155000001	156000000	.	1000000	2340
chr4-156	chr4	156000001	157000000	.	1000000	2171
chr4-157	chr4	157000001	158000000	.	1000000	2149
chr4-158	chr4	158000001	159000000	.	1000000	2785
chr4-159	chr4	159000001	160000000	.	1000000	2485
chr4-160	chr4	160000001	161000000	.	1000000	2034
chr4-161	chr4	161000001	162000000	.	1000000	1929
chr4-162	chr4	162000001	163000000	.	1000000	1965
chr4-163	chr4	163000001	164000000	.	1000000	2384
chr4-164	chr4	164000001	165000000	.	1000000	2354
chr4-165	chr4	165000001	166000000	.	1000000	2657
chr4-166	chr4	166000001	167000000	.	1000000	1907
chr4-167	chr4	167000001	168000000	.	1000000	1970
chr4-168	chr4	168000001	169000000	.	1000000	2693
chr4-169	chr4	169000001	170000000	.	1000000	2843
chr4-170	chr4	170000001	171000000	.	1000000	2295
chr4-171	chr4	171000001	172000000	.	1000000	2091
chr4-172	chr4	172000001	173000000	.	1000000	2339
chr4-173	chr4	173000001	174000000	.	1000000	2876
chr4-174	chr4	174000001	175000000	.	1000000	2288
chr4-175	chr4	175000001	176000000	.	1000000	2213
chr4-176	chr4	176000001	177000000	.	1000000	2359
chr4-177	chr4	177000001	178000000	.	1000000	2386
chr4-178	chr4	178000001	179000000	.	1000000	2058
chr4-179	chr4	179000001	180000000	.	1000000	2296
chr4-180	chr4	180000001	181000000	.	1000000	2205
chr4-181	chr4	181000001	182000000	.	1000000	2620
chr4-182	chr4	182000001	183000000	.	1000000	2955
chr4-183	chr4	183000001	184000000	.	1000000	3138
chr4-184	chr4	184000001	185000000	.	1000000	3228
chr4-185	chr4	185000001	186000000	.	1000000	3128
chr4-186	chr4	186000001	187000000	.	1000000	3154
chr4-187	chr4	187000001	188000000	.	1000000	2883
chr4-188	chr4	188000001	189000000	.	1000000	2962
chr4-189	chr4	189000001	190000000	.	1000000	3086
chr4-190	chr4	190000001	190214555	.	214555	1905
chr5-0	chr5	1	1000000	.	1000000	3267
chr5-1	chr5	1000001	2000000	.	1000000	3296
chr5-2	chr5	2000001	3000000	.	1000000	3348
chr5-3	chr5	3000001	4000000	.	1000000	3237
chr5-4	chr5	4000001	5000000	.	1000000	2937
chr5-5	chr5	5000001	6000000	.	1000000	3002
chr5-6	chr5	6000001	7000000	.	1000000	3145
chr5-7	chr5	7000001	8000000	.	1000000	3031
chr5-8	chr5	8000001	9000000	.	1000000	2713
chr5-9	chr5	9000001	10000000	.	1000000	3015
chr5-10	chr5	10000001	11000000	.	1000000	3345
chr5-11	chr5	11000001	12000000	.	1000000	2870
chr5-12	chr5	12000001	13000000	.	1000000	2200
chr5-13	chr5	13000001	14000000	.	1000000	2683
chr5-14	chr5	14000001	15000000	.	1000000	3298
chr5-15	chr5	15000001	16000000	.	1000000	2702
chr5-16	chr5	16000001	17000000	.	1000000	3012
chr5-17	chr5	17000001	18000000	.	1000000	3405
chr5-18	chr5	18000001	19000000	.	1000000	2088
chr5-19	chr5	19000001	20000000	.	1000000	2050
chr5-20	chr5	20000001	21000000	.	1000000	2115
chr5-21	chr5	21000001	22000000	.	1000000	2356
chr5-22	chr5	22000001	23000000	.	1000000	2023
chr5-23	chr5	23000001	24000000	.	1000000	1946
chr5-24	chr5	24000001	25000000	.	1000000	2059
chr5-25	chr5	25000001	26000000	.	1000000	2086
chr5-26	chr5	26000001	27000000	.	1000000	1975
chr5-27	chr5	27000001	28000000	.	1000000	1881
chr5-28	chr5	28000001	29000000	.	1000000	1858
chr5-29	chr5	29000001	30000000	.	1000000	1918
chr5-30	chr5	30000001	31000000	.	1000000	2133
chr5-31	chr5	31000001	32000000	.	1000000	3300
chr5-32	chr5	32000001	33000000	.	1000000	3257
chr5-33	chr5	33000001	34000000	.	1000000	3025
chr5-34	chr5	34000001	35000000	.	1000000	3003
chr5-35	chr5	35000001	36000000	.	1000000	2887
chr5-36	chr5	36000001	37000000	.	1000000	2761
chr5-37	chr5	37000001	38000000	.	1000000	3022
chr5-38	chr5	38000001	39000000	.	1000000	3038
chr5-39	chr5	39000001	40000000	.	1000000	2386
chr5-40	chr5	40000001	41000000	.	1000000	2699
chr5-41	chr5	41000001	42000000	.	1000000	2537
chr5-42	chr5	42000001	43000000	.	1000000	2721
chr5-43	chr5	43000001	44000000	.	1000000	3088
chr5-44	chr5	44000001	45000000	.	1000000	2084
chr5-45	chr5	45000001	46000000	.	1000000	1849
chr5-46	chr5	46000001	47000000	.	1000000	907
chr5-47	chr5	47000001	48000000	.	1000000	361
chr5-48	chr5	48000001	49000000	.	1000000	0
chr5-49	chr5	49000001	50000000	.	1000000	5468
chr5-50	chr5	50000001	51000000	.	1000000	2521
chr5-51	chr5	51000001	52000000	.	1000000	2080
chr5-52	chr5	52000001	53000000	.	1000000	1971
chr5-53	chr5	53000001	54000000	.	1000000	2744
chr5-54	chr5	54000001	55000000	.	1000000	2942
chr5-55	chr5	55000001	56000000	.	1000000	2823
chr5-56	chr5	56000001	57000000	.	1000000	3053
chr5-57	chr5	57000001	58000000	.	1000000	2760
chr5-58	chr5	58000001	59000000	.	1000000	2702
chr5-59	chr5	59000001	60000000	.	1000000	2491
chr5-60	chr5	60000001	61000000	.	1000000	2520
chr5-61	chr5	61000001	62000000	.	1000000	2939
chr5-62	chr5	62000001	63000000	.	1000000	2952
chr5-63	chr5	63000001	64000000	.	1000000	2234
chr5-64	chr5	64000001	65000000	.	1000000	2350
chr5-65	chr5	65000001	66000000	.	1000000	2684
chr5-66	chr5	66000001	67000000	.	1000000	2831
chr5-67	chr5	67000001	68000000	.	1000000	2767
chr5-68	chr5	68000001	69000000	.	1000000	3043
chr5-69	chr5	69000001	70000000	.	1000000	2928
chr5-70	chr5	70000001	71000000	.	1000000	2666
chr5-71	chr5	71000001	72000000	.	1000000	2733
chr5-72	chr5	72000001	73000000	.	1000000	3047
chr5-73	chr5	73000001	74000000	.	1000000	3042
chr5-74	chr5	74000001	75000000	.	1000000	3030
chr5-75	chr5	75000001	76000000	.	1000000	2904
chr5-76	chr5	76000001	77000000	.	1000000	3146
chr5-77	chr5	77000001	78000000	.	1000000	3007
chr5-78	chr5	78000001	79000000	.	1000000	2827
chr5-79	chr5	79000001	80000000	.	1000000	2985
chr5-80	chr5	80000001	81000000	.	1000000	3067
chr5-81	chr5	81000001	82000000	.	1000000	2810
chr5-82	chr5	82000001	83000000	.	1000000	2653
chr5-83	chr5	83000001	84000000	.	1000000	2210
chr5-84	chr5	84000001	85000000	.	1000000	1876
chr5-85	chr5	85000001	86000000	.	1000000	1773
chr5-86	chr5	86000001	87000000	.	1000000	1929
chr5-87	chr5	87000001	88000000	.	1000000	2118
chr5-88	chr5	88000001	89000000	.	1000000	2282
chr5-89	chr5	89000001	90000000	.	1000000	1745
chr5-90	chr5	90000001	91000000	.	1000000	2537
chr5-91	chr5	91000001	92000000	.	1000000	2288
chr5-92	chr5	92000001	93000000	.	1000000	1765
chr5-93	chr5	93000001	94000000	.	1000000	2335
chr5-94	chr5	94000001	95000000	.	1000000	2134
chr5-95	chr5	95000001	96000000	.	1000000	2728
chr5-96	chr5	96000001	97000000	.	1000000	2809
chr5-97	chr5	97000001	98000000	.	1000000	2548
chr5-98	chr5	98000001	99000000	.	1000000	2523
chr5-99	chr5	99000001	100000000	.	1000000	2090
chr5-100	chr5	100000001	101000000	.	1000000	1932
chr5-101	chr5	101000001	102000000	.	1000000	1825
chr5-102	chr5	102000001	103000000	.	1000000	2242
chr5-103	chr5	103000001	104000000	.	1000000	2409
chr5-104	chr5	104000001	105000000	.	1000000	1723
chr5-105	chr5	105000001	106000000	.	1000000	1630
chr5-106	chr5	106000001	107000000	.	1000000	1866
chr5-107	chr5	107000001	108000000	.	1000000	2476
chr5-108	chr5	108000001	109000000	.	1000000	2438
chr5-109	chr5	109000001	110000000	.	1000000	2549
chr5-110	chr5	110000001	111000000	.	1000000	2380
chr5-111	chr5	111000001	112000000	.	1000000	2415
chr5-112	chr5	112000001	113000000	.	1000000	2791
chr5-113	chr5	113000001	114000000	.	1000000	2923
chr5-114	chr5	114000001	115000000	.	1000000	2412
chr5-115	chr5	115000001	116000000	.	1000000	2693
chr5-116	chr5	116000001	117000000	.	1000000	2575
chr5-117	chr5	117000001	118000000	.	1000000	2061
chr5-118	chr5	118000001	119000000	.	1000000	2187
chr5-119	chr5	119000001	120000000	.	1000000	2544
chr5-120	chr5	120000001	121000000	.	1000000	1929
chr5-121	chr5	121000001	122000000	.	1000000	1819
chr5-122	chr5	122000001	123000000	.	1000000	2752
chr5-123	chr5	123000001	124000000	.	1000000	2444
chr5-124	chr5	124000001	125000000	.	1000000	2776
chr5-125	chr5	125000001	126000000	.	1000000	2390
chr5-126	chr5	126000001	127000000	.	1000000	2783
chr5-127	chr5	127000001	128000000	.	1000000	2800
chr5-128	chr5	128000001	129000000	.	1000000	2402
chr5-129	chr5	129000001	130000000	.	1000000	2135
chr5-130	chr5	130000001	131000000	.	1000000	2208
chr5-131	chr5	131000001	132000000	.	1000000	3023
chr5-132	chr5	132000001	133000000	.	1000000	3187
chr5-133	chr5	133000001	134000000	.	1000000	3367
chr5-134	chr5	134000001	135000000	.	1000000	3424
chr5-135	chr5	135000001	136000000	.	1000000	3332
chr5-136	chr5	136000001	137000000	.	1000000	2812
