""	"Chr"	"Start"	"End"	"Strand"	"Length"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"mean"	"sd"
"chr3-161"	"chr3"	161000001	162000000	"."	1000000	2	2.14588235294118	2.01685985247629	2.13477088948787	2.05466540999057	2.00771456123433	2.10814927646611	1.86876155268022	1.9566265060241	2.0440414507772	1.88408644400786	2.10169491525424	1.99147727272727	1.77227722772277	1.98461538461538	2.00477487309369	0.103895701974904
"chr3-162"	"chr3"	162000001	163000000	"."	1000000	1.74537379718727	1.62039215686275	1.61011591148577	1.77358490566038	1.87935909519321	1.77242044358727	2.08073115003808	1.82070240295749	1.92610441767068	1.78756476683938	1.69941060903733	1.93898305084746	1.90625	2.04950495049505	1.81353846153846	1.8282690746267	0.137716900839904
"chr3-163"	"chr3"	163000001	164000000	"."	1000000	1.74833456698742	1.85098039215686	1.55742887249737	1.94339622641509	1.85673892554194	2.08678881388621	1.97258187357197	1.73382624768946	1.94698795180723	1.79015544041451	1.78290766208251	2.03050847457627	1.98295454545455	1.72277227722772	1.67753846153846	1.84559338212317	0.147038088138533
"chr3-164"	"chr3"	164000001	165000000	"."	1000000	1.90525536639526	1.87450980392157	1.58904109589041	1.97304582210243	2.06409048067861	1.91513982642237	2.15689261233816	1.46950092421442	1.99196787148594	1.72020725388601	1.81139489194499	1.87118644067797	1.9375	2.21782178217822	1.73723076923077	1.88231899609114	0.199082317217598
"chr3-165"	"chr3"	165000001	166000000	"."	1000000	1.93486306439674	1.92313725490196	1.69020021074816	1.8167115902965	2.05278039585297	2.15043394406943	1.90555978674791	1.85212569316081	1.96305220883534	1.85233160621762	1.83497053045187	2.01694915254237	2.03125	1.83168316831683	1.75076923076923	1.90712118915385	0.122077915463451
"chr3-166"	"chr3"	166000001	167000000	"."	1000000	1.99703923019985	1.88235294117647	1.82297154899895	1.95687331536388	2.01319509896324	2.2854387656702	2.05483625285605	1.80776340110906	1.93734939759036	1.63471502590674	1.77996070726916	1.92542372881356	2.18465909090909	2.2970297029703	1.85661538461538	1.96241490616082	0.185490124508261
"chr3-167"	"chr3"	167000001	168000000	"."	1000000	2.00296076980015	2.05490196078431	2.1159114857745	1.92991913746631	1.94721960414703	2.05978784956606	2.04874333587205	1.99075785582255	1.99678714859438	1.94818652849741	1.93811394891945	1.92881355932203	2.04261363636364	1.78217821782178	1.91261538461538	1.9799673615578	0.0813557233484989
"chr3-168"	"chr3"	168000001	169000000	"."	1000000	1.95410806809771	1.94509803921569	1.9536354056902	1.90835579514825	2.02262016965127	2.00771456123433	2.07920792079208	1.9815157116451	2.07550200803213	2.25388601036269	1.91650294695481	1.91525423728814	1.92613636363636	2.26732673267327	1.91384615384615	2.00804734161788	0.116661338552792
"chr3-169"	"chr3"	169000001	170000000	"."	1000000	2.01332346410067	2.02352941176471	1.92623814541623	1.87061994609164	2.00754005655042	1.95371263259402	2.13861386138614	1.98890942698706	2.04176706827309	2.05699481865285	1.86738703339882	2.16271186440678	1.96306818181818	1.77227722772277	2.064	1.99004620927756	0.103279451594565
"chr3-170"	"chr3"	170000001	171000000	"."	1000000	2.08882309400444	2.19294117647059	1.98103266596417	2.10242587601078	2.186616399623	2.04050144648023	2.01523229246002	2.03142329020333	2.15582329317269	2.25388601036269	1.93909626719057	2.07457627118644	2.02840909090909	2.08910891089109	2.04246153846154	2.08149050822604	0.0856078916996337
"chr3-171"	"chr3"	171000001	172000000	"."	1000000	1.96150999259808	1.99058823529412	2.1622760800843	2.06199460916442	2.06597549481621	1.96914175506268	1.95582635186596	2.02033271719039	2.1285140562249	2.14248704663212	1.91060903732809	2.06440677966102	1.98863636363636	1.97029702970297	2.05107692307692	2.02957816482257	0.0750577298313818
"chr3-172"	"chr3"	172000001	173000000	"."	1000000	1.98371576609919	2.09882352941176	2.16016859852476	2.0377358490566	1.98868991517436	1.88813886210222	2.1005331302361	2.04621072088725	2.02570281124498	2.3160621761658	2.09626719056974	1.96949152542373	2.04829545454545	2.0990099009901	1.97107692307692	2.0553281569006	0.0999286774258315
"chr3-173"	"chr3"	173000001	174000000	"."	1000000	1.91117690599556	1.96705882352941	1.78925184404636	1.97843665768194	1.93590951932139	1.88428158148505	2.004569687738	1.82255083179298	2.03212851405622	1.80310880829016	1.8860510805501	1.88813559322034	1.98579545454545	2.23762376237624	1.88	1.93373860430861	0.111280365119361
"chr3-174"	"chr3"	174000001	175000000	"."	1000000	1.82235381199112	2.12549019607843	1.79978925184405	1.94339622641509	1.95852968897267	1.92864030858245	2.09444021325209	1.86876155268022	1.98875502008032	1.94041450777202	1.96954813359528	2.05084745762712	2.15909090909091	1.86138613861386	1.82830769230769	1.95598340726022	0.112019923912576
"chr3-175"	"chr3"	175000001	176000000	"."	1000000	1.84307920059215	1.71921568627451	1.71338250790306	1.90026954177898	1.90009425070688	1.97107039537126	2.03198781416603	1.82070240295749	1.98232931726908	1.89378238341969	1.84184675834971	2.01016949152542	2.03125	2.05940594059406	1.78523076923077	1.90025443067594	0.1126475926409
"chr3-176"	"chr3"	176000001	177000000	"."	1000000	1.88749074759437	2.04078431372549	1.80400421496312	2.00269541778976	2.06786050895382	1.94985535197686	1.97867479055598	1.79667282809612	2.14136546184739	1.81088082901554	1.9950884086444	1.99322033898305	2.19318181818182	1.94059405940594	1.92492307692308	1.96848614444378	0.116210358453957
"chr3-177"	"chr3"	177000001	178000000	"."	1000000	1.94226498889711	1.99372549019608	1.96838777660695	2.09433962264151	1.85108388312912	2.02700096432015	1.85072353389185	1.96857670979667	2.09799196787149	2.22020725388601	2.01178781925344	2.09491525423729	1.98011363636364	2	2.02092307692308	2.00813613186763	0.095067554202451
"chr3-178"	"chr3"	178000001	179000000	"."	1000000	1.98223538119911	1.9121568627451	1.89041095890411	2.04582210242588	2.04147031102733	1.9556412729026	1.88575780654989	1.9815157116451	1.96305220883534	1.94559585492228	1.94499017681729	1.93898305084746	1.86363636363636	2.32673267326733	2.00307692307692	1.97873851058681	0.1098290672139
"chr3-179"	"chr3"	179000001	180000000	"."	1000000	2.00888230940044	1.94980392156863	2.01053740779768	1.79514824797844	2.02262016965127	2.06750241080039	1.97105864432597	1.91312384473198	2.08192771084337	1.96373056994819	2.08546168958743	1.95254237288136	2.07670454545455	2.36633663366337	1.92123076923077	2.01244074985759	0.125265377549872
"chr3-180"	"chr3"	180000001	181000000	"."	1000000	1.93486306439674	1.86980392156863	1.90094836670179	2.00539083557951	1.9057492931197	2.07328833172613	2.17364813404417	1.9445471349353	2.12048192771084	1.81865284974093	1.97937131630648	2.15593220338983	2.06818181818182	2.25742574257426	2.02769230769231	2.01573181651123	0.124966155782027
"chr3-181"	"chr3"	181000001	182000000	"."	1000000	1.94522575869726	1.83529411764706	1.79557428872497	2.06469002695418	2.01319509896324	2.00385728061717	1.98324447829398	2.05175600739372	2.03694779116466	1.93264248704663	1.93123772102161	2.09830508474576	1.92329545454545	2.20792079207921	1.872	1.97967909252633	0.106519684851904
"chr3-182"	"chr3"	182000001	183000000	"."	1000000	2.08586232420429	2.07686274509804	2.04847207586934	1.78167115902965	1.97926484448633	1.96528447444552	1.96953541507997	2.01109057301294	2.05140562248996	1.95336787564767	2.00392927308448	2.06440677966102	1.95170454545455	2.00990099009901	1.93107692307692	1.99225570804931	0.076179054616436
"chr3-183"	"chr3"	183000001	184000000	"."	1000000	2.16284233900814	2.10509803921569	2.01475237091675	2	1.97549481621112	1.92864030858245	1.92688499619193	2.08872458410351	1.95180722891566	2.00518134715026	2.09724950884086	2.06779661016949	1.83522727272727	1.92079207920792	2.05107692307692	2.00877122828787	0.0878202065441895
"chr3-184"	"chr3"	184000001	185000000	"."	1000000	2.06365655070318	2.11294117647059	2.25922023182297	2.15902964959569	2.10744580584354	1.93249758919961	2.1964965727342	2.11090573012939	2.04016064257028	2.10880829015544	2.12966601178782	1.97966101694915	2.05113636363636	2.04950495049505	2.168	2.09794203880622	0.0829736093781439
"chr3-185"	"chr3"	185000001	186000000	"."	1000000	2.03256846780163	2.09254901960784	2.11380400421496	2.21293800539084	2.04901036757776	1.90935390549662	1.85986290936786	1.93900184842884	1.8859437751004	2.06476683937824	2.01669941060904	2.04745762711864	1.87215909090909	1.6039603960396	2.016	1.98107171113609	0.143851363677345
"chr3-186"	"chr3"	186000001	187000000	"."	1000000	2.14951887490748	2.11137254901961	2.08851422550053	1.91644204851752	1.80207351555137	1.9556412729026	2.05026656511805	2.12199630314233	2.00160642570281	2.19689119170984	2.06090373280943	1.98983050847458	2.16761363636364	1.79207920792079	2.11261538461538	2.03449102948373	0.124462674747263
"chr3-187"	"chr3"	187000001	188000000	"."	1000000	1.85640266469282	2.0956862745098	2.14541622760801	2.01347708894879	1.94721960414703	1.97878495660559	1.80959634424981	2.25138632162662	2.12048192771084	2.18911917098446	2.10216110019646	2.29491525423729	1.98579545454545	2.12871287128713	2.10892307692308	2.06853855588488	0.136185773799961
"chr3-188"	"chr3"	188000001	189000000	"."	1000000	2.06365655070318	1.97647058823529	2.30979978925184	1.97843665768194	1.99434495758718	1.98071359691418	1.99238385376999	2.00739371534196	2.1574297188755	2.11658031088083	2.12278978388998	2.09830508474576	2.10511363636364	1.99009900990099	2.03876923076923	2.06215243232743	0.0923447295684954
"chr3-189"	"chr3"	189000001	190000000	"."	1000000	2.10066617320503	2.00313725490196	1.89462592202318	2.08086253369272	2.09990574929312	2.16972034715526	2.0974866717441	1.91312384473198	2.09156626506024	2.03108808290155	1.83988212180747	2.08135593220339	1.90056818181818	1.98019801980198	1.99507692307692	2.01861760156114	0.0964862783119391
"chr3-190"	"chr3"	190000001	191000000	"."	1000000	2.09474463360474	2.00313725490196	2.05268703898841	1.90296495956873	2.08294062205467	2.20443587270974	2.11424219345011	1.88909426987061	2.14136546184739	2.13212435233161	1.94597249508841	1.74576271186441	1.94034090909091	1.81188118811881	1.86953846153846	1.99541549500193	0.135185611601626
"chr3-191"	"chr3"	191000001	192000000	"."	1000000	2.00148038490007	2	1.86301369863014	2.05121293800539	1.91328934967012	1.97107039537126	1.95277989337395	1.88354898336414	1.94056224899598	1.86269430051813	1.87229862475442	2.25762711864407	1.95170454545455	2.01980198019802	1.92492307692308	1.96440050258689	0.099983129046067
"chr3-192"	"chr3"	192000001	193000000	"."	1000000	1.99111769059956	1.94196078431373	2.08008429926238	2.08355795148248	1.90009425070688	2.10800385728062	2.004569687738	1.9815157116451	1.86987951807229	1.99481865284974	1.99312377210216	1.82033898305085	2.04829545454545	2.0990099009901	1.936	1.99015803430929	0.0857377279448544
"chr3-193"	"chr3"	193000001	194000000	"."	1000000	2.01776461880089	1.88235294117647	1.97471022128556	1.93261455525606	2.12064090480679	2.02314368370299	2.1005331302361	2.04251386321627	1.99518072289157	1.96113989637306	2.13163064833006	2.08135593220339	2.13352272727273	2.20792079207921	1.99076923076923	2.03971959122669	0.0883578847197522
"chr3-194"	"chr3"	194000001	195000000	"."	1000000	2.039970392302	1.97176470588235	2.0231822971549	1.79784366576819	2.11310084825636	2.01735776277724	1.89489718202589	2.05914972273567	1.91325301204819	1.99222797927461	2.23968565815324	2.10169491525424	2.01136363636364	2.11881188118812	2.18338461538462	2.03184588497128	0.113224578891814
"chr3-195"	"chr3"	195000001	196000000	"."	1000000	2.08882309400444	2.26666666666667	2.5331928345627	1.94070080862534	2.16588124410933	2.50337512054002	2.28027418126428	2.36598890942699	2.21686746987952	2.16580310880829	2.23477406679764	2.37627118644068	2.34659090909091	2.05940594059406	2.25353846153846	2.25321026682329	0.159830662492394
"chr3-196"	"chr3"	196000001	197000000	"."	1000000	1.98371576609919	1.9121568627451	2.08640674394099	2.06738544474394	1.97172478793591	2.03471552555448	2.001523229246	1.91312384473198	1.89236947791165	1.97668393782383	2.07269155206287	2.08813559322034	2.00568181818182	1.52475247524752	2.06892307692308	1.97333267575791	0.140076142999317
"chr3-197"	"chr3"	197000001	198000000	"."	1000000	2.08290155440414	2.00627450980392	2.1390937829294	2.00539083557951	2.21489161168709	1.92478302796528	2.53008377760853	2.07948243992606	2.00963855421687	2.18911917098446	2.07662082514735	1.99661016949153	1.95738636363636	2.13861386138614	2.04	2.09272603231778	0.146587277473563
"chr3-198"	"chr3"	198000001	198295559	"."	295559	0.494448556624722	0.501960784313725	0.413066385669125	0.582210242587601	0.531573986804901	0.563162970106075	0.533130236100533	0.504621072088725	0.4	0.432642487046632	0.470530451866405	0.447457627118644	0.454545454545455	0.495049504950495	0.444307692307692	0.484580496808715	0.0536177706406335
"chr4-0"	"chr4"	1	1000000	"."	1000000	2.24722427831236	2.0956862745098	1.93256059009484	2.22641509433962	2.25447690857681	2.21793635486982	2.38385376999238	2.48613678373383	2.19437751004016	1.9740932642487	2.17288801571709	2.02372881355932	1.97159090909091	2.81188118811881	2.19753846153846	2.21269254778286	0.225409136022895
"chr4-1"	"chr4"	1000001	2000000	"."	1000000	1.90377498149519	2.18509803921569	2.01896733403583	1.87061994609164	2.17342130065976	1.85920925747348	2.01370906321401	2.1645101663586	1.82971887550201	1.78756476683938	2.28880157170923	2.04406779661017	1.90340909090909	2.14851485148515	2.22092307692308	2.02748734123482	0.161709810720197
"chr4-2"	"chr4"	2000001	3000000	"."	1000000	2.03256846780163	2.17882352941176	2.10115911485775	1.99730458221024	2.13383600377003	1.91899710703954	2.08987052551409	2.15526802218115	1.90200803212851	2.08549222797927	2.14538310412574	1.9728813559322	1.77840909090909	2.01980198019802	2.20738461538462	2.04794585062958	0.118545163201241
"chr4-3"	"chr4"	3000001	4000000	"."	1000000	2.04885270170244	2.3121568627451	2.17702845100105	1.94878706199461	1.91894439208294	2.08678881388621	1.92840822543793	2.28280961182994	2.07550200803213	2.03108808290155	2.30844793713163	2.04067796610169	1.95738636363636	1.86138613861386	2.24369230769231	2.08146379498598	0.150554111151543
"chr4-4"	"chr4"	4000001	5000000	"."	1000000	2.05773501110289	2.19450980392157	2.01053740779768	2.08894878706199	1.97737983034873	2.00192864030858	2.0990099009901	2.17375231053604	2.00642570281124	2.11917098445596	2.1286836935167	1.76949152542373	2.09943181818182	2.25742574257426	2.06953846153846	2.07026464137132	0.1135683240881
"chr4-5"	"chr4"	5000001	6000000	"."	1000000	2.07698001480385	2.22274509803922	2.09694415173867	2.21832884097035	2.07351555136664	2.03471552555448	2.16450875856816	2.26247689463956	1.98072289156627	1.97150259067358	2.11493123772102	1.89830508474576	2.03409090909091	2.40594059405941	2.112	2.11118054290252	0.129003300687285
"chr4-6"	"chr4"	6000001	7000000	"."	1000000	2.07846039970392	2.10352941176471	2.25289778714436	2.02156334231806	2.062205466541	1.91128254580521	1.995430312262	2.32902033271719	2.02248995983936	2.29533678756477	2.19548133595285	2.09491525423729	1.90909090909091	2.04950495049505	2.16123076923077	2.09882930431116	0.127185403931897
"chr4-7"	"chr4"	7000001	8000000	"."	1000000	2.25610658771281	2.07529411764706	2.14541622760801	2.14824797843666	2.04524033930254	2.02121504339441	1.95887281035796	2.4177449168207	1.92449799196787	2.05440414507772	2.25343811394892	1.83728813559322	1.82670454545455	2.00990099009901	2.29538461538462	2.08465043725374	0.169525497095306
"chr4-8"	"chr4"	8000001	9000000	"."	1000000	2.10510732790526	2.1678431372549	1.93677555321391	1.88679245283019	2.11498586239397	2.00192864030858	2.0974866717441	2.31423290203327	1.93092369477912	2.09067357512953	2.30550098231827	1.9728813559322	1.69034090909091	2.27722772277228	2.29169230769231	2.07895953969325	0.17905951134034
"chr4-9"	"chr4"	9000001	10000000	"."	1000000	2.0340488527017	2.4721568627451	2.42360379346681	2.43935309973046	2.1885014137606	2.18129218900675	2.07920792079208	2.42144177449168	2.0289156626506	2.32901554404145	2.6532416502947	1.82372881355932	2.33238636363636	2.33663366336634	2.58953846153846	2.28887107105216	0.229190198806789
"chr4-10"	"chr4"	10000001	11000000	"."	1000000	2.14063656550703	2.00470588235294	2.14963119072708	2.15363881401617	2.13006597549482	2.16007714561234	2.02437166793602	2.06839186691312	2.03694779116466	2.22020725388601	2.10707269155206	1.78305084745763	1.875	1.75247524752475	2.00923076923077	2.04103358062503	0.139826091625475
"chr4-11"	"chr4"	11000001	12000000	"."	1000000	2.15247964470762	2.04078431372549	2.01685985247629	2.05121293800539	1.99434495758718	2.06943105110897	2.01066260472201	2.07578558225508	1.95502008032129	2.09844559585492	1.99607072691552	2.18305084745763	1.98863636363636	2.41584158415842	1.96738461538462	2.06773405055445	0.116209967906936
"chr4-12"	"chr4"	12000001	13000000	"."	1000000	1.96150999259808	1.99372549019608	1.93888303477345	1.82210242587601	1.93213949104618	2.00192864030858	2.13556740289414	2.09796672828096	2.085140562249	1.57512953367876	1.83202357563851	1.95593220338983	2.16761363636364	2.17821782178218	1.98523076923077	1.97754075388708	0.155819977385217
"chr4-13"	"chr4"	13000001	14000000	"."	1000000	2.06513693560326	1.97333333333333	2.00632244467861	2.07816711590297	2.04147031102733	2.05400192864031	2.04265041888804	2.14232902033272	1.97590361445783	1.9740932642487	1.96561886051081	2.28474576271186	2.03977272727273	2.13861386138614	1.992	2.05161063993298	0.0854548389656812
"chr4-14"	"chr4"	14000001	15000000	"."	1000000	2.08734270910437	1.9843137254902	2.03371970495258	2.1078167115903	2.13949104618285	2.03664416586307	1.97562833206398	2.18484288354898	2.09156626506024	1.96632124352332	2.03143418467584	1.94576271186441	2.18181818181818	2.06930693069307	2.00553846153846	2.05610315053132	0.0757461179419699
"chr4-15"	"chr4"	15000001	16000000	"."	1000000	1.97927461139896	2.10980392156863	2.06743940990516	1.94609164420485	1.89820923656927	2.03857280617165	2.01675552170602	2.08872458410351	2.01606425702811	2.2720207253886	2.06679764243615	2.04745762711864	2.28693181818182	1.92079207920792	2.02584615384615	2.05205213592236	0.110045623215842
"chr4-16"	"chr4"	16000001	17000000	"."	1000000	1.98667653589933	2.01098039215686	2.08429926238145	1.91913746630728	2.11875589066918	2.04821600771456	1.91165270373191	2.23290203327172	2.06425702811245	2.31347150259067	2.01669941060904	2.06440677966102	2.22159090909091	1.8019801980198	2.04923076923077	2.0562837926298	0.131600059602628
"chr4-17"	"chr4"	17000001	18000000	"."	1000000	2.05329385640266	2.06901960784314	2.04214963119073	2.15094339622642	1.92271442035815	2.03664416586307	1.998476770754	2.18484288354898	2.04176706827309	1.99222797927461	2.03241650294695	1.97966101694915	2.05681818181818	2	2.06523076923077	2.04174708337866	0.0645091244280934
"chr4-18"	"chr4"	18000001	19000000	"."	1000000	2.01184307920059	1.9043137254902	1.83350895679663	2.06738544474394	1.98303487276155	2.09257473481196	1.85072353389185	2.14232902033272	2.11244979919679	1.96373056994819	1.92141453831041	2.14915254237288	2.09090909090909	2.18811881188119	1.98707692307692	2.01990437624833	0.111231764315779
"chr4-19"	"chr4"	19000001	20000000	"."	1000000	1.97187268689859	2.06117647058824	1.82297154899895	1.96495956873315	2.06032045240339	2.09450337512054	2.05331302361005	1.87615526802218	2.10602409638554	1.9740932642487	1.96267190569745	2.19661016949153	2.11363636363636	2.04950495049505	1.96	2.01785420962198	0.0970984170036468
"chr4-20"	"chr4"	20000001	21000000	"."	1000000	2.02072538860104	1.94823529411765	2	2.04851752021563	1.96606974552309	1.94985535197686	1.90555978674791	1.95563770794824	1.92931726907631	1.99222797927461	1.89980353634578	2.05762711864407	2.15909090909091	1.73267326732673	1.97723076923077	1.96950477627464	0.0932642241430698
"chr4-21"	"chr4"	21000001	22000000	"."	1000000	2.03700962250185	1.87137254901961	1.79557428872497	1.94878706199461	1.89443920829406	1.9228543876567	2.1005331302361	1.87430683918669	2.01767068273092	1.88860103626943	1.87721021611002	1.97627118644068	2.15909090909091	1.82178217821782	2.02338461538462	1.94725919412393	0.103366341319079
"chr4-22"	"chr4"	22000001	23000000	"."	1000000	2.04441154700222	1.96078431372549	2.19178082191781	2.13746630727763	2.08859566446748	2.07521697203472	1.93602437166794	1.94639556377079	2.04658634538153	1.9740932642487	1.92730844793713	1.96949152542373	2.15056818181818	2.35643564356436	1.96738461538462	2.05150290570815	0.119435927425597
"chr4-23"	"chr4"	23000001	24000000	"."	1000000	2.13175425610659	1.94823529411765	1.89041095890411	2.04312668463612	1.95475966069746	2.14079074252652	2.12490479817212	1.83733826247689	1.88273092369478	1.91450777202073	1.93713163064833	2.23389830508475	1.83806818181818	2.03960396039604	1.88492307692308	1.98681230054822	0.124207018796113
"chr4-24"	"chr4"	24000001	25000000	"."	1000000	2.10214655810511	2.02039215686275	2.01053740779768	2.05121293800539	2.07351555136664	2.00964320154291	2.0974866717441	2.090573012939	1.96144578313253	2.05699481865285	2.05795677799607	2.03050847457627	2.21590909090909	2.05940594059406	2.08246153846154	2.06134599484573	0.0575130689249365
"chr4-25"	"chr4"	25000001	26000000	"."	1000000	1.99555884529978	2.00156862745098	1.97049525816649	2.11320754716981	2.06974552309142	2.04243008678881	2.02741812642803	2.02218114602588	1.97911646586345	1.87823834196891	2.10314341846758	2.11186440677966	2.02840909090909	2.33663366336634	2.192	2.05813403651842	0.107015089222026
"chr4-26"	"chr4"	26000001	27000000	"."	1000000	1.98371576609919	1.94980392156863	2.07586933614331	1.95417789757412	2.14137606032045	2.11186113789778	1.998476770754	1.82809611829945	1.97269076305221	2.04663212435233	2.0098231827112	1.98983050847458	2.13068181818182	2.07920792079208	2.01784615384615	2.01933929867115	0.0818859252369359
"chr4-27"	"chr4"	27000001	28000000	"."	1000000	2.02960769800148	1.93411764705882	2.00210748155954	2.04582210242588	1.82469368520264	1.94021215043394	2.07311500380807	2.08502772643253	1.98072289156627	1.93782383419689	1.94499017681729	2.13898305084746	1.97159090909091	2.25742574257426	1.89969230769231	2.00439549384722	0.106109910796656
"chr4-28"	"chr4"	28000001	29000000	"."	1000000	1.95114729829756	1.85725490196078	1.79346680716544	1.92991913746631	1.94156456173421	2.17743490838959	2.15841584158416	1.84473197781885	1.8859437751004	1.65544041450777	1.80550098231827	2.16949152542373	2.07954545454545	2.14851485148515	1.96184615384615	1.95734790610959	0.159299994718407
"chr4-29"	"chr4"	29000001	30000000	"."	1000000	1.84307920059215	1.95607843137255	1.6754478398314	1.80862533692722	1.95475966069746	2.04821600771456	1.98019801980198	1.81515711645102	1.97751004016064	1.76424870466321	1.76915520628684	1.95932203389831	1.89204545454545	1.92079207920792	1.77107692307692	1.87571413701518	0.105931175254032
"chr4-30"	"chr4"	30000001	31000000	"."	1000000	1.94818652849741	1.98588235294118	1.83140147523709	1.90835579514825	1.85862393967955	2.1099324975892	2.01827875095202	1.77079482439926	2.02570281124498	1.85751295336788	1.84970530451866	1.95254237288136	2.10227272727273	2.18811881188119	1.81169230769231	1.94793356355354	0.12279423241771
"chr4-31"	"chr4"	31000001	32000000	"."	1000000	1.79274611398964	1.90588235294118	1.63329820864067	1.88948787061995	1.875589066918	1.99614271938284	2	1.75046210720887	2.07228915662651	1.70466321243523	1.69351669941061	1.90169491525424	1.96875	2.12871287128713	1.77661538461538	1.87265671195535	0.145529221061889
"chr4-32"	"chr4"	32000001	33000000	"."	1000000	1.90969652109548	1.85882352941176	1.66069546891465	1.83288409703504	1.99811498586239	2.12921890067502	2.03503427265803	1.82070240295749	2.01767068273092	1.65544041450777	1.69449901768173	1.96949152542373	2.03693181818182	1.7029702970297	1.77107692307692	1.87288339048283	0.154487396824727
"chr4-33"	"chr4"	33000001	34000000	"."	1000000	1.95410806809771	1.79764705882353	1.70284510010537	1.77358490566038	1.93967954759661	2.01157184185149	2.08073115003808	1.71719038817006	1.88433734939759	1.80051813471503	1.89194499017682	2.18305084745763	2.125	1.96039603960396	1.84	1.91084036144628	0.145109586427185
"chr4-34"	"chr4"	34000001	35000000	"."	1000000	1.8519615099926	1.70509803921569	1.75553213909378	1.77897574123989	1.86427898209237	1.9228543876567	1.89185072353389	1.76709796672828	2.04016064257028	1.79015544041451	1.78781925343811	1.97966101694915	1.86079545454545	2.05940594059406	1.69230769230769	1.84986366202483	0.11287153566338
"chr4-35"	"chr4"	35000001	36000000	"."	1000000	1.95262768319763	1.78823529411765	1.96628029504742	1.99460916442049	2	2.16007714561234	2.02437166793602	1.74676524953789	1.89879518072289	1.95336787564767	1.78683693516699	1.7728813559322	2.12784090909091	2.03960396039604	1.87938461538462	1.93944515548072	0.126912754681976
"chr4-36"	"chr4"	36000001	37000000	"."	1000000	1.9659511472983	1.86666666666667	2.01685985247629	2.11590296495957	1.97737983034873	1.98649951783992	2.04874333587205	1.99630314232902	1.95020080321285	1.76165803108808	1.87819253438114	1.87457627118644	2.10227272727273	1.79207920792079	1.89907692307692	1.94882419706197	0.103573709143581
"chr4-37"	"chr4"	37000001	38000000	"."	1000000	1.91117690599556	1.99843137254902	2.19599578503688	2.17789757412399	1.88878416588124	1.94021215043394	2.12033511043412	1.98706099815157	1.83775100401606	2.10880829015544	2.06090373280943	2.24406779661017	2.13920454545455	2.27722772277228	1.96615384615385	2.05693406670521	0.13594749402937
"chr4-38"	"chr4"	38000001	39000000	"."	1000000	2.03849000740192	2.02196078431373	1.96838777660695	2.20215633423181	2.02073515551367	2.01928640308582	1.94211728865194	2.00184842883549	2.10441767068273	1.97668393782383	2.07662082514735	2.0271186440678	2.04261363636364	2.05940594059406	2.10523076923077	2.04047157350343	0.0643029375531387
"chr4-39"	"chr4"	39000001	40000000	"."	1000000	2.00296076980015	1.97176470588235	2.06743940990516	1.90296495956873	1.98491988689915	1.6817743490839	1.88575780654989	1.93715341959335	2	2.17616580310881	1.84577603143418	1.90169491525424	1.99431818181818	1.88118811881188	1.93046153846154	1.94428932641143	0.110252335931163
"chr4-40"	"chr4"	40000001	41000000	"."	1000000	2.05773501110289	1.93254901960784	2.13277133825079	1.93261455525606	1.9057492931197	1.94406943105111	1.98172124904798	2.01478743068392	2.03534136546185	2.06735751295337	2.08055009823183	2.06101694915254	2.07102272727273	2.03960396039604	1.98769230769231	2.0163054832854	0.066219213803118
"chr4-41"	"chr4"	41000001	42000000	"."	1000000	1.93782383419689	2.17725490196078	2.09483667017914	2.13207547169811	2.01319509896324	2.13693346190935	1.96648895658797	2.04621072088725	1.92610441767068	2.1139896373057	1.89489194499018	2.07457627118644	2.05681818181818	2.0990099009901	2.03446153846154	2.0469780672537	0.084551211997093
"chr4-42"	"chr4"	42000001	43000000	"."	1000000	2.01628423390081	2.16470588235294	2.07586933614331	2.0188679245283	1.9076343072573	1.91899710703954	1.92993145468393	1.96857670979667	2.1574297188755	2.22279792746114	1.97249508840864	1.85762711864407	1.96875	2.27722772277228	1.96984615384615	2.02846937904737	0.124363610664916
"chr4-43"	"chr4"	43000001	44000000	"."	1000000	1.97187268689859	1.93254901960784	1.89041095890411	1.94878706199461	1.87935909519321	2.16007714561234	2.01827875095202	2	1.89879518072289	1.91709844559585	1.78388998035363	2.10847457627119	2.07102272727273	1.98019801980198	1.92615384615385	1.96579783302232	0.096145154901938
"chr4-44"	"chr4"	44000001	45000000	"."	1000000	1.9259807549963	1.83372549019608	1.89041095890411	1.9811320754717	2.09990574929312	2.02700096432015	1.94211728865194	1.81146025878004	1.98393574297189	1.94818652849741	1.8664047151277	2.19661016949153	2.07954545454545	2.1980198019802	1.86030769230769	1.97631624303569	0.122819578159263
"chr4-45"	"chr4"	45000001	46000000	"."	1000000	1.90969652109548	1.82588235294118	1.71970495258167	2.02964959568733	1.91705937794533	1.99807135969142	1.99238385376999	1.71534195933457	2.01606425702811	1.74611398963731	1.81827111984283	2.15593220338983	2.04545454545455	2.01980198019802	1.80676923076923	1.91441315329112	0.135715906425236
