# Program:featureCounts v2.0.0; Command:"/home/vera/bin/subread-2.0.0-source/bin/featureCounts" "-a" "/media/vera/big_data/coriandR/genome/bins.gtf" "-o" "output/98217.new.report/patient.fc.tsv" "-T" "8" "output/98217.new.report/patient.bam" 
Geneid	Chr	Start	End	Strand	Length	output/98217.new.report/patient.bam
chr3-33	chr3	33000001	34000000	.	1000000	630
chr3-34	chr3	34000001	35000000	.	1000000	642
chr3-35	chr3	35000001	36000000	.	1000000	647
chr3-36	chr3	36000001	37000000	.	1000000	589
chr3-37	chr3	37000001	38000000	.	1000000	590
chr3-38	chr3	38000001	39000000	.	1000000	594
chr3-39	chr3	39000001	40000000	.	1000000	574
chr3-40	chr3	40000001	41000000	.	1000000	542
chr3-41	chr3	41000001	42000000	.	1000000	587
chr3-42	chr3	42000001	43000000	.	1000000	595
chr3-43	chr3	43000001	44000000	.	1000000	616
chr3-44	chr3	44000001	45000000	.	1000000	526
chr3-45	chr3	45000001	46000000	.	1000000	628
chr3-46	chr3	46000001	47000000	.	1000000	632
chr3-47	chr3	47000001	48000000	.	1000000	512
chr3-48	chr3	48000001	49000000	.	1000000	602
chr3-49	chr3	49000001	50000000	.	1000000	605
chr3-50	chr3	50000001	51000000	.	1000000	639
chr3-51	chr3	51000001	52000000	.	1000000	593
chr3-52	chr3	52000001	53000000	.	1000000	577
chr3-53	chr3	53000001	54000000	.	1000000	604
chr3-54	chr3	54000001	55000000	.	1000000	625
chr3-55	chr3	55000001	56000000	.	1000000	658
chr3-56	chr3	56000001	57000000	.	1000000	558
chr3-57	chr3	57000001	58000000	.	1000000	488
chr3-58	chr3	58000001	59000000	.	1000000	525
chr3-59	chr3	59000001	60000000	.	1000000	673
chr3-60	chr3	60000001	61000000	.	1000000	681
chr3-61	chr3	61000001	62000000	.	1000000	568
chr3-62	chr3	62000001	63000000	.	1000000	547
chr3-63	chr3	63000001	64000000	.	1000000	548
chr3-64	chr3	64000001	65000000	.	1000000	541
chr3-65	chr3	65000001	66000000	.	1000000	655
chr3-66	chr3	66000001	67000000	.	1000000	596
chr3-67	chr3	67000001	68000000	.	1000000	553
chr3-68	chr3	68000001	69000000	.	1000000	613
chr3-69	chr3	69000001	70000000	.	1000000	602
chr3-70	chr3	70000001	71000000	.	1000000	577
chr3-71	chr3	71000001	72000000	.	1000000	609
chr3-72	chr3	72000001	73000000	.	1000000	606
chr3-73	chr3	73000001	74000000	.	1000000	572
chr3-74	chr3	74000001	75000000	.	1000000	619
chr3-75	chr3	75000001	76000000	.	1000000	612
chr3-76	chr3	76000001	77000000	.	1000000	625
chr3-77	chr3	77000001	78000000	.	1000000	599
chr3-78	chr3	78000001	79000000	.	1000000	531
chr3-79	chr3	79000001	80000000	.	1000000	626
chr3-80	chr3	80000001	81000000	.	1000000	639
chr3-81	chr3	81000001	82000000	.	1000000	627
chr3-82	chr3	82000001	83000000	.	1000000	615
chr3-83	chr3	83000001	84000000	.	1000000	672
chr3-84	chr3	84000001	85000000	.	1000000	614
chr3-85	chr3	85000001	86000000	.	1000000	584
chr3-86	chr3	86000001	87000000	.	1000000	646
chr3-87	chr3	87000001	88000000	.	1000000	613
chr3-88	chr3	88000001	89000000	.	1000000	700
chr3-89	chr3	89000001	90000000	.	1000000	659
chr3-90	chr3	90000001	91000000	.	1000000	603
chr3-91	chr3	91000001	92000000	.	1000000	511
chr3-92	chr3	92000001	93000000	.	1000000	584
chr3-93	chr3	93000001	94000000	.	1000000	4344
chr3-94	chr3	94000001	95000000	.	1000000	565
chr3-95	chr3	95000001	96000000	.	1000000	610
chr3-96	chr3	96000001	97000000	.	1000000	599
chr3-97	chr3	97000001	98000000	.	1000000	671
chr3-98	chr3	98000001	99000000	.	1000000	583
chr3-99	chr3	99000001	100000000	.	1000000	612
chr3-100	chr3	100000001	101000000	.	1000000	629
chr3-101	chr3	101000001	102000000	.	1000000	656
chr3-102	chr3	102000001	103000000	.	1000000	561
chr3-103	chr3	103000001	104000000	.	1000000	566
chr3-104	chr3	104000001	105000000	.	1000000	632
chr3-105	chr3	105000001	106000000	.	1000000	619
chr3-106	chr3	106000001	107000000	.	1000000	581
chr3-107	chr3	107000001	108000000	.	1000000	540
chr3-108	chr3	108000001	109000000	.	1000000	587
chr3-109	chr3	109000001	110000000	.	1000000	642
chr3-110	chr3	110000001	111000000	.	1000000	547
chr3-111	chr3	111000001	112000000	.	1000000	658
chr3-112	chr3	112000001	113000000	.	1000000	616
chr3-113	chr3	113000001	114000000	.	1000000	607
chr3-114	chr3	114000001	115000000	.	1000000	652
chr3-115	chr3	115000001	116000000	.	1000000	602
chr3-116	chr3	116000001	117000000	.	1000000	603
chr3-117	chr3	117000001	118000000	.	1000000	613
chr3-118	chr3	118000001	119000000	.	1000000	520
chr3-119	chr3	119000001	120000000	.	1000000	584
chr3-120	chr3	120000001	121000000	.	1000000	580
chr3-121	chr3	121000001	122000000	.	1000000	596
chr3-122	chr3	122000001	123000000	.	1000000	617
chr3-123	chr3	123000001	124000000	.	1000000	576
chr3-124	chr3	124000001	125000000	.	1000000	621
chr3-125	chr3	125000001	126000000	.	1000000	633
chr3-126	chr3	126000001	127000000	.	1000000	605
chr3-127	chr3	127000001	128000000	.	1000000	588
chr3-128	chr3	128000001	129000000	.	1000000	598
chr3-129	chr3	129000001	130000000	.	1000000	539
chr3-130	chr3	130000001	131000000	.	1000000	670
chr3-131	chr3	131000001	132000000	.	1000000	579
chr3-132	chr3	132000001	133000000	.	1000000	583
chr3-133	chr3	133000001	134000000	.	1000000	601
chr3-134	chr3	134000001	135000000	.	1000000	594
chr3-135	chr3	135000001	136000000	.	1000000	590
chr3-136	chr3	136000001	137000000	.	1000000	545
chr3-137	chr3	137000001	138000000	.	1000000	618
chr3-138	chr3	138000001	139000000	.	1000000	618
chr3-139	chr3	139000001	140000000	.	1000000	607
chr3-140	chr3	140000001	141000000	.	1000000	610
chr3-141	chr3	141000001	142000000	.	1000000	586
chr3-142	chr3	142000001	143000000	.	1000000	594
chr3-143	chr3	143000001	144000000	.	1000000	533
chr3-144	chr3	144000001	145000000	.	1000000	613
chr3-145	chr3	145000001	146000000	.	1000000	586
chr3-146	chr3	146000001	147000000	.	1000000	667
chr3-147	chr3	147000001	148000000	.	1000000	583
chr3-148	chr3	148000001	149000000	.	1000000	644
chr3-149	chr3	149000001	150000000	.	1000000	631
chr3-150	chr3	150000001	151000000	.	1000000	607
chr3-151	chr3	151000001	152000000	.	1000000	610
chr3-152	chr3	152000001	153000000	.	1000000	607
chr3-153	chr3	153000001	154000000	.	1000000	557
chr3-154	chr3	154000001	155000000	.	1000000	622
chr3-155	chr3	155000001	156000000	.	1000000	644
chr3-156	chr3	156000001	157000000	.	1000000	646
chr3-157	chr3	157000001	158000000	.	1000000	571
chr3-158	chr3	158000001	159000000	.	1000000	536
chr3-159	chr3	159000001	160000000	.	1000000	561
chr3-160	chr3	160000001	161000000	.	1000000	628
chr3-161	chr3	161000001	162000000	.	1000000	602
chr3-162	chr3	162000001	163000000	.	1000000	517
chr3-163	chr3	163000001	164000000	.	1000000	628
chr3-164	chr3	164000001	165000000	.	1000000	626
chr3-165	chr3	165000001	166000000	.	1000000	597
chr3-166	chr3	166000001	167000000	.	1000000	611
chr3-167	chr3	167000001	168000000	.	1000000	595
chr3-168	chr3	168000001	169000000	.	1000000	590
chr3-169	chr3	169000001	170000000	.	1000000	608
chr3-170	chr3	170000001	171000000	.	1000000	608
chr3-171	chr3	171000001	172000000	.	1000000	638
chr3-172	chr3	172000001	173000000	.	1000000	629
chr3-173	chr3	173000001	174000000	.	1000000	603
chr3-174	chr3	174000001	175000000	.	1000000	658
chr3-175	chr3	175000001	176000000	.	1000000	534
chr3-176	chr3	176000001	177000000	.	1000000	617
chr3-177	chr3	177000001	178000000	.	1000000	588
chr3-178	chr3	178000001	179000000	.	1000000	600
chr3-179	chr3	179000001	180000000	.	1000000	565
chr3-180	chr3	180000001	181000000	.	1000000	645
chr3-181	chr3	181000001	182000000	.	1000000	559
chr3-182	chr3	182000001	183000000	.	1000000	614
chr3-183	chr3	183000001	184000000	.	1000000	597
chr3-184	chr3	184000001	185000000	.	1000000	544
chr3-185	chr3	185000001	186000000	.	1000000	570
chr3-186	chr3	186000001	187000000	.	1000000	581
chr3-187	chr3	187000001	188000000	.	1000000	632
chr3-188	chr3	188000001	189000000	.	1000000	593
chr3-189	chr3	189000001	190000000	.	1000000	598
chr3-190	chr3	190000001	191000000	.	1000000	594
chr3-191	chr3	191000001	192000000	.	1000000	622
chr3-192	chr3	192000001	193000000	.	1000000	558
chr3-193	chr3	193000001	194000000	.	1000000	590
chr3-194	chr3	194000001	195000000	.	1000000	593
chr3-195	chr3	195000001	196000000	.	1000000	547
chr3-196	chr3	196000001	197000000	.	1000000	586
chr3-197	chr3	197000001	198000000	.	1000000	635
chr3-198	chr3	198000001	198295559	.	295559	121
chr4-0	chr4	1	1000000	.	1000000	779
chr4-1	chr4	1000001	2000000	.	1000000	610
chr4-2	chr4	2000001	3000000	.	1000000	600
chr4-3	chr4	3000001	4000000	.	1000000	584
chr4-4	chr4	4000001	5000000	.	1000000	617
chr4-5	chr4	5000001	6000000	.	1000000	587
chr4-6	chr4	6000001	7000000	.	1000000	553
chr4-7	chr4	7000001	8000000	.	1000000	614
chr4-8	chr4	8000001	9000000	.	1000000	584
chr4-9	chr4	9000001	10000000	.	1000000	611
chr4-10	chr4	10000001	11000000	.	1000000	532
chr4-11	chr4	11000001	12000000	.	1000000	596
chr4-12	chr4	12000001	13000000	.	1000000	619
chr4-13	chr4	13000001	14000000	.	1000000	642
chr4-14	chr4	14000001	15000000	.	1000000	622
chr4-15	chr4	15000001	16000000	.	1000000	580
chr4-16	chr4	16000001	17000000	.	1000000	642
chr4-17	chr4	17000001	18000000	.	1000000	559
chr4-18	chr4	18000001	19000000	.	1000000	598
chr4-19	chr4	19000001	20000000	.	1000000	623
chr4-20	chr4	20000001	21000000	.	1000000	567
chr4-21	chr4	21000001	22000000	.	1000000	556
chr4-22	chr4	22000001	23000000	.	1000000	553
chr4-23	chr4	23000001	24000000	.	1000000	525
chr4-24	chr4	24000001	25000000	.	1000000	633
chr4-25	chr4	25000001	26000000	.	1000000	515
chr4-26	chr4	26000001	27000000	.	1000000	629
chr4-27	chr4	27000001	28000000	.	1000000	633
chr4-28	chr4	28000001	29000000	.	1000000	600
chr4-29	chr4	29000001	30000000	.	1000000	592
chr4-30	chr4	30000001	31000000	.	1000000	586
chr4-31	chr4	31000001	32000000	.	1000000	586
chr4-32	chr4	32000001	33000000	.	1000000	583
chr4-33	chr4	33000001	34000000	.	1000000	592
chr4-34	chr4	34000001	35000000	.	1000000	574
chr4-35	chr4	35000001	36000000	.	1000000	639
chr4-36	chr4	36000001	37000000	.	1000000	686
chr4-37	chr4	37000001	38000000	.	1000000	592
chr4-38	chr4	38000001	39000000	.	1000000	637
chr4-39	chr4	39000001	40000000	.	1000000	571
chr4-40	chr4	40000001	41000000	.	1000000	598
chr4-41	chr4	41000001	42000000	.	1000000	564
chr4-42	chr4	42000001	43000000	.	1000000	679
chr4-43	chr4	43000001	44000000	.	1000000	582
chr4-44	chr4	44000001	45000000	.	1000000	599
chr4-45	chr4	45000001	46000000	.	1000000	631
chr4-46	chr4	46000001	47000000	.	1000000	622
chr4-47	chr4	47000001	48000000	.	1000000	622
chr4-48	chr4	48000001	49000000	.	1000000	603
chr4-49	chr4	49000001	50000000	.	1000000	1562
chr4-50	chr4	50000001	51000000	.	1000000	916
chr4-51	chr4	51000001	52000000	.	1000000	662
chr4-52	chr4	52000001	53000000	.	1000000	618
chr4-53	chr4	53000001	54000000	.	1000000	542
chr4-54	chr4	54000001	55000000	.	1000000	600
chr4-55	chr4	55000001	56000000	.	1000000	592
chr4-56	chr4	56000001	57000000	.	1000000	543
chr4-57	chr4	57000001	58000000	.	1000000	635
chr4-58	chr4	58000001	59000000	.	1000000	625
chr4-59	chr4	59000001	60000000	.	1000000	638
chr4-60	chr4	60000001	61000000	.	1000000	631
chr4-61	chr4	61000001	62000000	.	1000000	624
chr4-62	chr4	62000001	63000000	.	1000000	661
chr4-63	chr4	63000001	64000000	.	1000000	598
chr4-64	chr4	64000001	65000000	.	1000000	654
chr4-65	chr4	65000001	66000000	.	1000000	571
chr4-66	chr4	66000001	67000000	.	1000000	663
chr4-67	chr4	67000001	68000000	.	1000000	584
chr4-68	chr4	68000001	69000000	.	1000000	524
chr4-69	chr4	69000001	70000000	.	1000000	611
chr4-70	chr4	70000001	71000000	.	1000000	610
chr4-71	chr4	71000001	72000000	.	1000000	596
chr4-72	chr4	72000001	73000000	.	1000000	596
chr4-73	chr4	73000001	74000000	.	1000000	583
chr4-74	chr4	74000001	75000000	.	1000000	608
chr4-75	chr4	75000001	76000000	.	1000000	636
chr4-76	chr4	76000001	77000000	.	1000000	586
chr4-77	chr4	77000001	78000000	.	1000000	611
chr4-78	chr4	78000001	79000000	.	1000000	531
chr4-79	chr4	79000001	80000000	.	1000000	618
chr4-80	chr4	80000001	81000000	.	1000000	614
chr4-81	chr4	81000001	82000000	.	1000000	650
chr4-82	chr4	82000001	83000000	.	1000000	649
chr4-83	chr4	83000001	84000000	.	1000000	678
chr4-84	chr4	84000001	85000000	.	1000000	604
chr4-85	chr4	85000001	86000000	.	1000000	633
chr4-86	chr4	86000001	87000000	.	1000000	533
chr4-87	chr4	87000001	88000000	.	1000000	568
chr4-88	chr4	88000001	89000000	.	1000000	615
chr4-89	chr4	89000001	90000000	.	1000000	555
chr4-90	chr4	90000001	91000000	.	1000000	622
chr4-91	chr4	91000001	92000000	.	1000000	584
chr4-92	chr4	92000001	93000000	.	1000000	542
chr4-93	chr4	93000001	94000000	.	1000000	613
chr4-94	chr4	94000001	95000000	.	1000000	633
chr4-95	chr4	95000001	96000000	.	1000000	663
chr4-96	chr4	96000001	97000000	.	1000000	617
chr4-97	chr4	97000001	98000000	.	1000000	643
chr4-98	chr4	98000001	99000000	.	1000000	611
chr4-99	chr4	99000001	100000000	.	1000000	571
chr4-100	chr4	100000001	101000000	.	1000000	541
chr4-101	chr4	101000001	102000000	.	1000000	569
chr4-102	chr4	102000001	103000000	.	1000000	593
chr4-103	chr4	103000001	104000000	.	1000000	576
chr4-104	chr4	104000001	105000000	.	1000000	622
chr4-105	chr4	105000001	106000000	.	1000000	603
chr4-106	chr4	106000001	107000000	.	1000000	615
chr4-107	chr4	107000001	108000000	.	1000000	603
chr4-108	chr4	108000001	109000000	.	1000000	611
chr4-109	chr4	109000001	110000000	.	1000000	584
chr4-110	chr4	110000001	111000000	.	1000000	609
chr4-111	chr4	111000001	112000000	.	1000000	565
chr4-112	chr4	112000001	113000000	.	1000000	552
chr4-113	chr4	113000001	114000000	.	1000000	545
chr4-114	chr4	114000001	115000000	.	1000000	579
chr4-115	chr4	115000001	116000000	.	1000000	499
chr4-116	chr4	116000001	117000000	.	1000000	676
chr4-117	chr4	117000001	118000000	.	1000000	631
chr4-118	chr4	118000001	119000000	.	1000000	568
chr4-119	chr4	119000001	120000000	.	1000000	635
chr4-120	chr4	120000001	121000000	.	1000000	571
chr4-121	chr4	121000001	122000000	.	1000000	555
chr4-122	chr4	122000001	123000000	.	1000000	612
chr4-123	chr4	123000001	124000000	.	1000000	555
chr4-124	chr4	124000001	125000000	.	1000000	669
chr4-125	chr4	125000001	126000000	.	1000000	623
chr4-126	chr4	126000001	127000000	.	1000000	658
chr4-127	chr4	127000001	128000000	.	1000000	570
chr4-128	chr4	128000001	129000000	.	1000000	591
chr4-129	chr4	129000001	130000000	.	1000000	631
chr4-130	chr4	130000001	131000000	.	1000000	575
chr4-131	chr4	131000001	132000000	.	1000000	662
chr4-132	chr4	132000001	133000000	.	1000000	548
chr4-133	chr4	133000001	134000000	.	1000000	641
chr4-134	chr4	134000001	135000000	.	1000000	708
chr4-135	chr4	135000001	136000000	.	1000000	574
chr4-136	chr4	136000001	137000000	.	1000000	597
chr4-137	chr4	137000001	138000000	.	1000000	528
chr4-138	chr4	138000001	139000000	.	1000000	526
chr4-139	chr4	139000001	140000000	.	1000000	589
chr4-140	chr4	140000001	141000000	.	1000000	584
chr4-141	chr4	141000001	142000000	.	1000000	595
chr4-142	chr4	142000001	143000000	.	1000000	639
chr4-143	chr4	143000001	144000000	.	1000000	599
chr4-144	chr4	144000001	145000000	.	1000000	570
chr4-145	chr4	145000001	146000000	.	1000000	550
chr4-146	chr4	146000001	147000000	.	1000000	607
chr4-147	chr4	147000001	148000000	.	1000000	614
chr4-148	chr4	148000001	149000000	.	1000000	588
chr4-149	chr4	149000001	150000000	.	1000000	582
chr4-150	chr4	150000001	151000000	.	1000000	571
chr4-151	chr4	151000001	152000000	.	1000000	567
chr4-152	chr4	152000001	153000000	.	1000000	639
chr4-153	chr4	153000001	154000000	.	1000000	603
chr4-154	chr4	154000001	155000000	.	1000000	620
chr4-155	chr4	155000001	156000000	.	1000000	592
chr4-156	chr4	156000001	157000000	.	1000000	641
chr4-157	chr4	157000001	158000000	.	1000000	596
chr4-158	chr4	158000001	159000000	.	1000000	662
chr4-159	chr4	159000001	160000000	.	1000000	610
chr4-160	chr4	160000001	161000000	.	1000000	574
chr4-161	chr4	161000001	162000000	.	1000000	626
chr4-162	chr4	162000001	163000000	.	1000000	619
chr4-163	chr4	163000001	164000000	.	1000000	592
chr4-164	chr4	164000001	165000000	.	1000000	614
chr4-165	chr4	165000001	166000000	.	1000000	574
chr4-166	chr4	166000001	167000000	.	1000000	586
chr4-167	chr4	167000001	168000000	.	1000000	662
chr4-168	chr4	168000001	169000000	.	1000000	597
chr4-169	chr4	169000001	170000000	.	1000000	607
chr4-170	chr4	170000001	171000000	.	1000000	594
chr4-171	chr4	171000001	172000000	.	1000000	560
chr4-172	chr4	172000001	173000000	.	1000000	571
chr4-173	chr4	173000001	174000000	.	1000000	583
chr4-174	chr4	174000001	175000000	.	1000000	540
chr4-175	chr4	175000001	176000000	.	1000000	564
chr4-176	chr4	176000001	177000000	.	1000000	547
chr4-177	chr4	177000001	178000000	.	1000000	626
chr4-178	chr4	178000001	179000000	.	1000000	670
chr4-179	chr4	179000001	180000000	.	1000000	569
chr4-180	chr4	180000001	181000000	.	1000000	594
chr4-181	chr4	181000001	182000000	.	1000000	667
chr4-182	chr4	182000001	183000000	.	1000000	617
chr4-183	chr4	183000001	184000000	.	1000000	559
chr4-184	chr4	184000001	185000000	.	1000000	632
chr4-185	chr4	185000001	186000000	.	1000000	529
chr4-186	chr4	186000001	187000000	.	1000000	609
chr4-187	chr4	187000001	188000000	.	1000000	610
chr4-188	chr4	188000001	189000000	.	1000000	611
chr4-189	chr4	189000001	190000000	.	1000000	718
chr4-190	chr4	190000001	190214555	.	214555	429
chr5-0	chr5	1	1000000	.	1000000	627
chr5-1	chr5	1000001	2000000	.	1000000	601
chr5-2	chr5	2000001	3000000	.	1000000	654
chr5-3	chr5	3000001	4000000	.	1000000	585
chr5-4	chr5	4000001	5000000	.	1000000	623
chr5-5	chr5	5000001	6000000	.	1000000	664
chr5-6	chr5	6000001	7000000	.	1000000	589
chr5-7	chr5	7000001	8000000	.	1000000	589
chr5-8	chr5	8000001	9000000	.	1000000	624
chr5-9	chr5	9000001	10000000	.	1000000	560
chr5-10	chr5	10000001	11000000	.	1000000	585
chr5-11	chr5	11000001	12000000	.	1000000	616
chr5-12	chr5	12000001	13000000	.	1000000	586
chr5-13	chr5	13000001	14000000	.	1000000	639
chr5-14	chr5	14000001	15000000	.	1000000	609
chr5-15	chr5	15000001	16000000	.	1000000	630
chr5-16	chr5	16000001	17000000	.	1000000	571
chr5-17	chr5	17000001	18000000	.	1000000	618
chr5-18	chr5	18000001	19000000	.	1000000	618
chr5-19	chr5	19000001	20000000	.	1000000	570
chr5-20	chr5	20000001	21000000	.	1000000	636
chr5-21	chr5	21000001	22000000	.	1000000	652
chr5-22	chr5	22000001	23000000	.	1000000	615
chr5-23	chr5	23000001	24000000	.	1000000	612
chr5-24	chr5	24000001	25000000	.	1000000	641
chr5-25	chr5	25000001	26000000	.	1000000	618
chr5-26	chr5	26000001	27000000	.	1000000	587
chr5-27	chr5	27000001	28000000	.	1000000	587
chr5-28	chr5	28000001	29000000	.	1000000	548
chr5-29	chr5	29000001	30000000	.	1000000	633
chr5-30	chr5	30000001	31000000	.	1000000	637
chr5-31	chr5	31000001	32000000	.	1000000	644
chr5-32	chr5	32000001	33000000	.	1000000	605
chr5-33	chr5	33000001	34000000	.	1000000	579
chr5-34	chr5	34000001	35000000	.	1000000	666
chr5-35	chr5	35000001	36000000	.	1000000	566
chr5-36	chr5	36000001	37000000	.	1000000	590
chr5-37	chr5	37000001	38000000	.	1000000	620
chr5-38	chr5	38000001	39000000	.	1000000	566
chr5-39	chr5	39000001	40000000	.	1000000	555
chr5-40	chr5	40000001	41000000	.	1000000	565
chr5-41	chr5	41000001	42000000	.	1000000	561
chr5-42	chr5	42000001	43000000	.	1000000	558
chr5-43	chr5	43000001	44000000	.	1000000	635
chr5-44	chr5	44000001	45000000	.	1000000	573
chr5-45	chr5	45000001	46000000	.	1000000	555
chr5-46	chr5	46000001	47000000	.	1000000	500
chr5-47	chr5	47000001	48000000	.	1000000	203
chr5-48	chr5	48000001	49000000	.	1000000	0
chr5-49	chr5	49000001	50000000	.	1000000	1298
chr5-50	chr5	50000001	51000000	.	1000000	679
chr5-51	chr5	51000001	52000000	.	1000000	632
chr5-52	chr5	52000001	53000000	.	1000000	603
chr5-53	chr5	53000001	54000000	.	1000000	563
chr5-54	chr5	54000001	55000000	.	1000000	628
chr5-55	chr5	55000001	56000000	.	1000000	541
chr5-56	chr5	56000001	57000000	.	1000000	613
chr5-57	chr5	57000001	58000000	.	1000000	627
chr5-58	chr5	58000001	59000000	.	1000000	582
chr5-59	chr5	59000001	60000000	.	1000000	585
chr5-60	chr5	60000001	61000000	.	1000000	619
chr5-61	chr5	61000001	62000000	.	1000000	638
chr5-62	chr5	62000001	63000000	.	1000000	606
chr5-63	chr5	63000001	64000000	.	1000000	578
chr5-64	chr5	64000001	65000000	.	1000000	593
chr5-65	chr5	65000001	66000000	.	1000000	602
chr5-66	chr5	66000001	67000000	.	1000000	573
chr5-67	chr5	67000001	68000000	.	1000000	628
chr5-68	chr5	68000001	69000000	.	1000000	609
chr5-69	chr5	69000001	70000000	.	1000000	558
chr5-70	chr5	70000001	71000000	.	1000000	583
chr5-71	chr5	71000001	72000000	.	1000000	601
chr5-72	chr5	72000001	73000000	.	1000000	629
chr5-73	chr5	73000001	74000000	.	1000000	633
chr5-74	chr5	74000001	75000000	.	1000000	584
chr5-75	chr5	75000001	76000000	.	1000000	571
chr5-76	chr5	76000001	77000000	.	1000000	560
chr5-77	chr5	77000001	78000000	.	1000000	589
chr5-78	chr5	78000001	79000000	.	1000000	644
chr5-79	chr5	79000001	80000000	.	1000000	520
chr5-80	chr5	80000001	81000000	.	1000000	587
chr5-81	chr5	81000001	82000000	.	1000000	571
chr5-82	chr5	82000001	83000000	.	1000000	637
chr5-83	chr5	83000001	84000000	.	1000000	653
chr5-84	chr5	84000001	85000000	.	1000000	643
chr5-85	chr5	85000001	86000000	.	1000000	629
chr5-86	chr5	86000001	87000000	.	1000000	621
chr5-87	chr5	87000001	88000000	.	1000000	619
chr5-88	chr5	88000001	89000000	.	1000000	582
chr5-89	chr5	89000001	90000000	.	1000000	558
chr5-90	chr5	90000001	91000000	.	1000000	603
chr5-91	chr5	91000001	92000000	.	1000000	588
chr5-92	chr5	92000001	93000000	.	1000000	650
chr5-93	chr5	93000001	94000000	.	1000000	657
chr5-94	chr5	94000001	95000000	.	1000000	628
chr5-95	chr5	95000001	96000000	.	1000000	573
chr5-96	chr5	96000001	97000000	.	1000000	563
chr5-97	chr5	97000001	98000000	.	1000000	601
chr5-98	chr5	98000001	99000000	.	1000000	613
chr5-99	chr5	99000001	100000000	.	1000000	637
chr5-100	chr5	100000001	101000000	.	1000000	642
chr5-101	chr5	101000001	102000000	.	1000000	575
chr5-102	chr5	102000001	103000000	.	1000000	640
chr5-103	chr5	103000001	104000000	.	1000000	624
chr5-104	chr5	104000001	105000000	.	1000000	618
chr5-105	chr5	105000001	106000000	.	1000000	603
chr5-106	chr5	106000001	107000000	.	1000000	633
chr5-107	chr5	107000001	108000000	.	1000000	523
chr5-108	chr5	108000001	109000000	.	1000000	602
chr5-109	chr5	109000001	110000000	.	1000000	604
chr5-110	chr5	110000001	111000000	.	1000000	638
chr5-111	chr5	111000001	112000000	.	1000000	549
chr5-112	chr5	112000001	113000000	.	1000000	615
chr5-113	chr5	113000001	114000000	.	1000000	580
chr5-114	chr5	114000001	115000000	.	1000000	570
chr5-115	chr5	115000001	116000000	.	1000000	619
chr5-116	chr5	116000001	117000000	.	1000000	609
chr5-117	chr5	117000001	118000000	.	1000000	631
chr5-118	chr5	118000001	119000000	.	1000000	612
chr5-119	chr5	119000001	120000000	.	1000000	600
chr5-120	chr5	120000001	121000000	.	1000000	593
chr5-121	chr5	121000001	122000000	.	1000000	619
chr5-122	chr5	122000001	123000000	.	1000000	619
chr5-123	chr5	123000001	124000000	.	1000000	560
chr5-124	chr5	124000001	125000000	.	1000000	574
chr5-125	chr5	125000001	126000000	.	1000000	525
chr5-126	chr5	126000001	127000000	.	1000000	650
chr5-127	chr5	127000001	128000000	.	1000000	582
chr5-128	chr5	128000001	129000000	.	1000000	613
chr5-129	chr5	129000001	130000000	.	1000000	621
chr5-130	chr5	130000001	131000000	.	1000000	667
chr5-131	chr5	131000001	132000000	.	1000000	584
chr5-132	chr5	132000001	133000000	.	1000000	638
chr5-133	chr5	133000001	134000000	.	1000000	613
chr5-134	chr5	134000001	135000000	.	1000000	554
chr5-135	chr5	135000001	136000000	.	1000000	659
chr5-136	chr5	136000001	137000000	.	1000000	598
chr5-137	chr5	137000001	138000000	.	1000000	551
chr5-138	chr5	138000001	139000000	.	1000000	627
chr5-139	chr5	139000001	140000000	.	1000000	551
chr5-140	chr5	140000001	141000000	.	1000000	593
chr5-141	chr5	141000001	142000000	.	1000000	590
chr5-142	chr5	142000001	143000000	.	1000000	591
chr5-143	chr5	143000001	144000000	.	1000000	609
chr5-144	chr5	144000001	145000000	.	1000000	538
chr5-145	chr5	145000001	146000000	.	1000000	553
chr5-146	chr5	146000001	147000000	.	1000000	582
chr5-147	chr5	147000001	148000000	.	1000000	605
chr5-148	chr5	148000001	149000000	.	1000000	592
chr5-149	chr5	149000001	150000000	.	1000000	583
chr5-150	chr5	150000001	151000000	.	1000000	568
chr5-151	chr5	151000001	152000000	.	1000000	555
chr5-152	chr5	152000001	153000000	.	1000000	614
chr5-153	chr5	153000001	154000000	.	1000000	586
chr5-154	chr5	154000001	155000000	.	1000000	532
chr5-155	chr5	155000001	156000000	.	1000000	570
chr5-156	chr5	156000001	157000000	.	1000000	547
chr5-157	chr5	157000001	158000000	.	1000000	584
chr5-158	chr5	158000001	159000000	.	1000000	531
chr5-159	chr5	159000001	160000000	.	1000000	580
chr5-160	chr5	160000001	161000000	.	1000000	532
chr5-161	chr5	161000001	162000000	.	1000000	570
chr5-162	chr5	162000001	163000000	.	1000000	530
chr5-163	chr5	163000001	164000000	.	1000000	544
chr5-164	chr5	164000001	165000000	.	1000000	634
chr5-165	chr5	165000001	166000000	.	1000000	534
chr5-166	chr5	166000001	167000000	.	1000000	589
chr5-167	chr5	167000001	168000000	.	1000000	584
chr5-168	chr5	168000001	169000000	.	1000000	551
chr5-169	chr5	169000001	170000000	.	1000000	593
chr5-170	chr5	170000001	171000000	.	1000000	591
chr5-171	chr5	171000001	172000000	.	1000000	645
chr5-172	chr5	172000001	173000000	.	1000000	505
chr5-173	chr5	173000001	174000000	.	1000000	609
chr5-174	chr5	174000001	175000000	.	1000000	568
