""	"Geneid"	"Chr"	"Start"	"End"	"Strand"	"Length"	"62720_S6_L001.bam"	"63120_S8_L001.bam"	"63220_S9_L001.bam"	"63320_S1_L001.bam"	"63420_S1_L001.bam"	"63520_S2_L001.bam"	"63620_S3_L001.bam"	"63720_S4_L001.bam"	"63820_S5_L001.bam"	"64820_S7_L001.bam"	"AML11_S6_L001.bam"	"AML12_S6_L001.bam"	"AML13_S7_L001.bam"	"AML14_S8_L001.bam"	"healthy1_S4_L001.bam"	"healthy2_S5_L001.bam"	"healthy3_S6_L001.bam"	"Kontrolle-karyotype_S6_L001.bam"	"WholeGenomeHealthy_S7_L001.bam"	"gc"	"bin"	"sum"	"norm.var"	"gc_blocked"	"norm.clean.var"	"var_blocked"	"norm.pat"
"332"	"chr2-82"	"chr2"	82000001	83000000	"."	1000000	1372	1157	857	763	1073	1000	1361	1013	1222	737	1828	625	706	210	2952	2169	727	1145	812	0.350877	332	21729	0.0139600172919359	FALSE	0.0139600172919359	FALSE	NA
"333"	"chr2-83"	"chr2"	83000001	84000000	"."	1000000	1284	1239	845	692	1081	1073	1412	935	1251	690	1929	588	788	203	3162	2251	739	1187	873	0.357733	333	22222	0.0179569926812074	FALSE	0.0179569926812074	FALSE	NA
"334"	"chr2-84"	"chr2"	84000001	85000000	"."	1000000	1348	1282	922	758	1086	1077	1370	1214	1241	801	2035	652	721	169	3133	2375	823	1251	880	0.401336	334	23138	0.0132853142486167	FALSE	0.00637401090599225	FALSE	NA
"335"	"chr2-85"	"chr2"	85000001	86000000	"."	1000000	1383	1210	967	762	1096	1043	1240	1148	1191	866	2155	583	698	195	3663	2427	849	1283	878	0.46839	335	23637	0.00965412106396075	FALSE	0.00965412106396075	FALSE	NA
"336"	"chr2-86"	"chr2"	86000001	87000000	"."	1000000	1329	1347	1002	744	1010	1048	1298	1085	1235	789	2087	556	678	196	3295	2293	856	1254	859	0.422559	336	22961	0.00485122591261716	FALSE	0.00485122591261716	FALSE	NA
"337"	"chr2-87"	"chr2"	87000001	88000000	"."	1000000	1327	1261	1003	789	1057	1008	1302	1051	1291	744	2197	538	688	229	3478	2284	854	1299	794	0.420782	337	23194	0.0114774537092498	FALSE	0.0114774537092498	FALSE	NA
"338"	"chr2-88"	"chr2"	88000001	89000000	"."	1000000	1455	1358	989	782	1132	968	1214	1144	1285	761	2152	643	657	199	3371	2365	833	1326	918	0.4227	338	23552	0.0108231608335393	FALSE	0.0108231608335393	FALSE	NA
"339"	"chr2-89"	"chr2"	89000001	90000000	"."	1000000	1417	1264	998	809	1113	1011	1266	1066	1264	849	2263	627	711	210	3547	2562	866	1416	826	0.298939	339	24085	0.00957716173433284	TRUE	NA	FALSE	NA
"340"	"chr2-90"	"chr2"	90000001	91000000	"."	1000000	990	1303	987	654	1033	917	1619	1407	1237	1046	2054	539	654	203	3259	2228	926	1406	829	0.165339	340	23291	0.0869148532240065	TRUE	NA	TRUE	NA
"341"	"chr2-91"	"chr2"	91000001	92000000	"."	1000000	1220	1123	862	710	1061	1026	1187	1078	1213	751	1998	543	676	207	3173	2291	787	1219	862	0.25752	341	21987	0.00645174265223304	TRUE	NA	FALSE	NA
"342"	"chr2-92"	"chr2"	92000001	93000000	"."	1000000	2001	1817	1044	976	1251	1200	1573	1644	1606	997	2183	796	993	245	3487	2517	815	1380	1054	0.365121	342	27579	0.065186391630355	FALSE	NA	TRUE	NA
"343"	"chr2-93"	"chr2"	93000001	94000000	"."	1000000	1119	994	596	594	764	654	906	932	911	506	1432	448	546	134	2492	1769	640	1062	548	0.38294	343	17047	0.0357770501286313	FALSE	0.0357770501286313	FALSE	NA
"344"	"chr2-94"	"chr2"	94000001	95000000	"."	1000000	1184	1073	775	703	886	855	1157	964	1099	713	1815	554	598	182	2721	1895	731	1084	772	0.298466	344	19761	0.00874712176369783	TRUE	NA	FALSE	NA
"345"	"chr2-95"	"chr2"	95000001	96000000	"."	1000000	1407	1464	1048	848	1126	1067	1398	1200	1300	781	2187	676	698	212	3627	2524	903	1412	922	0.438622	345	24800	0.00782669901420175	FALSE	0.00782669901420175	FALSE	NA
"346"	"chr2-96"	"chr2"	96000001	97000000	"."	1000000	1384	1339	1012	788	1108	1075	1310	1179	1245	788	2338	569	704	209	3661	2514	910	1396	814	0.489985	346	24343	0.00985368269721995	FALSE	0.00985368269721995	FALSE	NA
"347"	"chr2-97"	"chr2"	97000001	98000000	"."	1000000	1379	1275	977	747	1027	1008	1379	1063	1229	796	2143	631	674	210	3203	2284	793	1215	830	0.388979	347	22863	0.00519622248244802	FALSE	0.00519622248244802	FALSE	NA
"348"	"chr2-98"	"chr2"	98000001	99000000	"."	1000000	1357	1240	1044	760	1092	1006	1298	1064	1234	875	2210	679	630	190	3511	2367	866	1409	842	0.434023	348	23674	0.0181302394030629	FALSE	0.0181302394030629	FALSE	NA
"349"	"chr2-99"	"chr2"	99000001	100000000	"."	1000000	1327	1255	952	827	1098	1003	1290	1142	1164	795	2091	531	678	226	3299	2352	851	1305	922	0.407198	349	23108	0.0125145253055757	FALSE	0.0125145253055757	FALSE	NA
"350"	"chr2-100"	"chr2"	100000001	101000000	"."	1000000	1365	1267	981	794	1152	1051	1296	1163	1258	797	2116	576	666	208	3441	2439	852	1345	808	0.438358	350	23575	0.00534602154376243	FALSE	0.00534602154376243	FALSE	NA
"351"	"chr2-101"	"chr2"	101000001	102000000	"."	1000000	1328	1275	975	766	1080	1053	1374	1170	1253	867	2170	568	714	196	3250	2420	911	1217	810	0.432609	351	23397	0.00902880579493561	FALSE	0.00902880579493561	FALSE	NA
"352"	"chr2-102"	"chr2"	102000001	103000000	"."	1000000	1389	1316	1083	670	1158	1025	1280	1133	1255	783	2072	566	736	229	3447	2366	861	1332	809	0.402344	352	23510	0.0125356223839106	FALSE	0.0125356223839106	FALSE	NA
"353"	"chr2-103"	"chr2"	103000001	104000000	"."	1000000	1347	1280	900	700	1009	993	1360	993	1247	695	1955	551	689	227	3031	2207	703	1206	861	0.362049	353	21954	0.0144832248999011	FALSE	0.00884493862761082	FALSE	NA
"354"	"chr2-104"	"chr2"	104000001	105000000	"."	1000000	1338	1355	914	734	1015	1094	1371	1049	1243	788	2044	626	708	203	3254	2259	807	1226	834	0.395456	354	22862	0.00474733362336988	FALSE	0.00474733362336988	FALSE	NA
"355"	"chr2-105"	"chr2"	105000001	106000000	"."	1000000	1370	1332	1044	754	1136	1089	1311	1237	1238	750	2123	657	688	199	3273	2429	832	1219	855	0.432539	355	23536	0.00992551660408724	FALSE	0.00992551660408724	FALSE	NA
"356"	"chr2-106"	"chr2"	106000001	107000000	"."	1000000	1259	1340	998	751	1056	1004	1380	1089	1289	790	2158	629	733	179	3506	2252	818	1364	802	0.419255	356	23397	0.0104226114737067	FALSE	0.00702780394485668	FALSE	NA
"357"	"chr2-107"	"chr2"	107000001	108000000	"."	1000000	1400	1308	944	736	1038	1002	1304	1117	1241	743	1962	590	733	222	3092	2214	766	1209	828	0.383401	357	22449	0.00718528108033758	FALSE	0.00488953313737407	FALSE	NA
"358"	"chr2-108"	"chr2"	108000001	109000000	"."	1000000	1456	1310	907	748	1090	1089	1320	1110	1280	812	2022	561	736	179	3294	2457	785	1313	910	0.407429	358	23379	0.00962487098542119	FALSE	0.00605741162967282	FALSE	NA
"359"	"chr2-109"	"chr2"	109000001	110000000	"."	1000000	1310	1267	942	710	1052	976	1377	1166	1199	798	2045	556	723	201	3512	2300	794	1347	794	0.457099	359	23069	0.00717078857142961	FALSE	0.00717078857142961	FALSE	NA
"360"	"chr2-110"	"chr2"	110000001	111000000	"."	1000000	1331	1350	924	683	1152	916	1230	1098	1268	834	2098	528	771	176	3493	2229	828	1232	861	0.432418	360	23002	0.0191595168352746	FALSE	0.0191595168352746	FALSE	NA
"361"	"chr2-111"	"chr2"	111000001	112000000	"."	1000000	1401	1359	970	737	1083	1041	1311	1089	1290	854	2183	602	697	201	3403	2342	960	1274	764	0.436383	361	23561	0.0112739076409401	FALSE	0.00667399219240549	FALSE	NA
"362"	"chr2-112"	"chr2"	112000001	113000000	"."	1000000	1416	1313	967	782	1078	1002	1329	1087	1269	758	2193	567	752	223	3405	2351	837	1244	853	0.42478	362	23426	0.00569490130023334	FALSE	0.00569490130023334	FALSE	NA
"363"	"chr2-113"	"chr2"	113000001	114000000	"."	1000000	1386	1336	1016	757	1100	1064	1328	1173	1325	753	2132	547	660	234	3617	2425	910	1339	910	0.431482	363	24012	0.0114522729721054	FALSE	0.0114522729721054	FALSE	NA
"364"	"chr2-114"	"chr2"	114000001	115000000	"."	1000000	1400	1309	905	865	1139	1015	1396	1040	1307	792	1962	675	642	228	3128	2364	762	1171	814	0.38364	364	22914	0.0224032898110789	FALSE	0.0224032898110789	FALSE	NA
"365"	"chr2-115"	"chr2"	115000001	116000000	"."	1000000	1257	1228	814	675	1064	1047	1283	1002	1261	681	1919	559	708	215	3175	2188	720	1242	741	0.36074	365	21779	0.0118798735476561	FALSE	0.0118798735476561	FALSE	NA
"366"	"chr2-116"	"chr2"	116000001	117000000	"."	1000000	1261	1185	848	781	965	987	1357	1003	1221	633	1882	615	756	251	3207	2347	777	1307	776	0.363665	366	22159	0.0366068575616182	FALSE	0.0203321058526598	FALSE	NA
"367"	"chr2-117"	"chr2"	117000001	118000000	"."	1000000	1305	1300	893	813	1096	1096	1328	1045	1226	757	2058	571	770	184	3204	2332	819	1250	886	0.391257	367	22933	0.00968480334120011	FALSE	0.00968480334120011	FALSE	NA
"368"	"chr2-118"	"chr2"	118000001	119000000	"."	1000000	1326	1350	981	787	1053	1093	1307	1094	1289	799	2169	620	703	247	3499	2441	872	1397	829	0.421964	368	23856	0.0109015288269708	FALSE	0.0047281038442218	FALSE	NA
"369"	"chr2-119"	"chr2"	119000001	120000000	"."	1000000	1391	1329	1061	830	1063	1044	1298	1122	1306	815	2141	595	753	233	3269	2316	909	1339	848	0.433172	369	23662	0.0092197766608992	FALSE	0.0092197766608992	FALSE	NA
"370"	"chr2-120"	"chr2"	120000001	121000000	"."	1000000	1500	1427	995	750	1111	1045	1391	1266	1207	814	2292	642	725	213	3570	2449	978	1389	842	0.485408	370	24606	0.0120701034593324	FALSE	0.0120701034593324	FALSE	NA
"371"	"chr2-121"	"chr2"	121000001	122000000	"."	1000000	1354	1351	914	767	1067	1057	1321	1103	1211	816	2076	585	791	186	3380	2451	896	1309	870	0.446494	371	23505	0.00934719428752285	FALSE	0.00934719428752285	FALSE	NA
"372"	"chr2-122"	"chr2"	122000001	123000000	"."	1000000	1432	1214	850	707	1044	1045	1261	1038	1278	711	2130	602	644	213	3141	2353	794	1285	807	0.391982	372	22549	0.00917953194944775	FALSE	0.00917953194944775	FALSE	NA
"373"	"chr2-123"	"chr2"	123000001	124000000	"."	1000000	1329	1242	827	748	1023	1025	1400	1107	1086	675	1921	595	762	212	3048	2206	723	1242	852	0.358234	373	22023	0.0172090664440718	FALSE	0.0172090664440718	FALSE	NA
"374"	"chr2-124"	"chr2"	124000001	125000000	"."	1000000	1345	1244	880	780	1111	1060	1392	1058	1224	693	2029	572	721	196	3360	2240	751	1180	813	0.388668	374	22649	0.00846059738221001	FALSE	0.00846059738221001	FALSE	NA
"375"	"chr2-125"	"chr2"	125000001	126000000	"."	1000000	1320	1212	861	698	1023	1134	1365	1063	1243	630	1983	651	757	186	3027	2119	719	1231	730	0.365758	375	21952	0.0243400270450623	FALSE	0.0243400270450623	FALSE	NA
"376"	"chr2-126"	"chr2"	126000001	127000000	"."	1000000	1357	1228	967	756	1077	1087	1290	1122	1290	785	2054	519	743	205	3279	2366	859	1304	875	0.410418	376	23163	0.00571661262223995	FALSE	0.00215850005771107	FALSE	NA
"377"	"chr2-127"	"chr2"	127000001	128000000	"."	1000000	1378	1361	936	762	1080	960	1305	1170	1189	766	2229	606	655	200	3439	2317	892	1374	769	0.46122	377	23388	0.0121432730086723	FALSE	0.0121432730086723	FALSE	NA
"378"	"chr2-128"	"chr2"	128000001	129000000	"."	1000000	1459	1350	990	734	1037	1033	1349	1133	1308	791	2307	595	701	212	3497	2400	872	1321	853	0.459828	378	23942	0.00521496899479921	FALSE	0.00521496899479921	FALSE	NA
"379"	"chr2-129"	"chr2"	129000001	130000000	"."	1000000	1280	1318	920	774	1151	1044	1327	1190	1283	769	2088	620	707	219	3307	2322	793	1303	870	0.424948	379	23285	0.00525500286309749	FALSE	0.00525500286309749	FALSE	NA
"380"	"chr2-130"	"chr2"	130000001	131000000	"."	1000000	1404	1358	925	756	1087	1039	1210	1169	1277	801	2241	524	751	230	3335	2231	878	1284	778	0.45729	380	23278	0.01507448125115	FALSE	0.01507448125115	FALSE	NA
"381"	"chr2-131"	"chr2"	131000001	132000000	"."	1000000	1337	1243	881	757	1125	1087	1311	1142	1276	848	2052	533	687	173	3376	2164	799	1310	850	0.427365	381	22951	0.0123730883500904	FALSE	0.00806299239374248	FALSE	NA
"382"	"chr2-132"	"chr2"	132000001	133000000	"."	1000000	1443	1348	933	729	1163	1155	1312	1266	1250	735	2066	629	667	198	3250	2382	828	1363	785	0.406289	382	23502	0.0139440443375148	FALSE	0.0139440443375148	FALSE	NA
"383"	"chr2-133"	"chr2"	133000001	134000000	"."	1000000	1325	1315	898	787	1133	1114	1252	1105	1319	773	2133	618	745	207	3262	2291	885	1276	922	0.39849	383	23360	0.00656503612825226	FALSE	0.00656503612825226	FALSE	NA
"384"	"chr2-134"	"chr2"	134000001	135000000	"."	1000000	1476	1265	1023	709	1044	1055	1306	1250	1285	800	2071	536	685	182	3325	2295	877	1378	906	0.425073	384	23468	0.0157036973837799	FALSE	0.0157036973837799	FALSE	NA
"385"	"chr2-135"	"chr2"	135000001	136000000	"."	1000000	1390	1298	902	705	1050	1001	1185	985	1179	804	1947	553	662	208	3192	2315	756	1286	853	0.39426	385	22271	0.00875929484547044	FALSE	0.00875929484547044	FALSE	NA
"386"	"chr2-136"	"chr2"	136000001	137000000	"."	1000000	1432	1293	1129	659	1129	1078	1285	1183	1185	812	2073	640	698	189	3319	2295	895	1257	812	0.408876	386	23363	0.0190486093576757	FALSE	0.012422064388933	FALSE	NA
"387"	"chr2-137"	"chr2"	137000001	138000000	"."	1000000	1300	1195	993	731	1004	1112	1339	1019	1165	789	1996	561	712	209	3122	2123	727	1196	850	0.374791	387	22143	0.0100073933437085	FALSE	0.0100073933437085	FALSE	NA
"388"	"chr2-138"	"chr2"	138000001	139000000	"."	1000000	1391	1252	999	737	1152	1091	1332	1111	1276	772	1974	655	739	278	3063	2144	722	1273	829	0.37837	388	22790	0.0390756231739483	FALSE	0.012054406345289	FALSE	NA
"389"	"chr2-139"	"chr2"	139000001	140000000	"."	1000000	1280	1113	829	713	1079	1071	1357	1027	1166	716	1955	574	753	197	2934	2089	799	1211	820	0.359205	389	21683	0.0111965077151491	FALSE	0.0111965077151491	FALSE	NA
"390"	"chr2-140"	"chr2"	140000001	141000000	"."	1000000	1252	1192	826	762	1016	1088	1297	972	1232	662	1791	609	732	198	3002	2178	699	1191	843	0.347031	390	21542	0.0178335016107665	FALSE	0.0178335016107665	FALSE	NA
"391"	"chr2-141"	"chr2"	141000001	142000000	"."	1000000	1277	1261	898	676	1024	1125	1342	941	1245	724	1759	573	709	214	3028	2073	772	1189	802	0.351151	391	21632	0.0144840105137145	FALSE	0.0144840105137145	FALSE	NA
"392"	"chr2-142"	"chr2"	142000001	143000000	"."	1000000	1344	1226	991	721	1090	1069	1412	1026	1286	812	1901	677	736	234	3096	2282	748	1133	782	0.35955	392	22566	0.0220227258468684	FALSE	0.0220227258468684	FALSE	NA
"393"	"chr2-143"	"chr2"	143000001	144000000	"."	1000000	1381	1287	962	749	1102	1035	1241	1047	1261	880	1974	588	749	199	3080	2205	776	1139	901	0.370341	393	22556	0.0129214457721373	FALSE	0.00890519287553373	FALSE	NA
"394"	"chr2-144"	"chr2"	144000001	145000000	"."	1000000	1403	1196	1119	718	1055	995	1340	1084	1329	762	1970	655	722	210	3314	2344	788	1243	821	0.372805	394	23068	0.0149549209386727	FALSE	0.0078635202554841	FALSE	NA
"395"	"chr2-145"	"chr2"	145000001	146000000	"."	1000000	1354	1216	874	722	1069	957	1337	1059	1254	778	1898	581	748	198	2971	2149	743	1208	873	0.35739	395	21989	0.00850389464287507	FALSE	0.00850389464287507	FALSE	NA
"396"	"chr2-146"	"chr2"	146000001	147000000	"."	1000000	1304	1220	884	785	1035	1064	1322	1033	1292	711	1774	602	712	210	2996	2064	676	1139	810	0.35519	396	21633	0.0175085108682191	FALSE	0.0175085108682191	FALSE	NA
"397"	"chr2-147"	"chr2"	147000001	148000000	"."	1000000	1355	1265	954	795	1063	1100	1344	1069	1208	768	1965	602	798	177	3098	2336	785	1217	752	0.378053	397	22651	0.0149999724616714	FALSE	0.0105041155694846	FALSE	NA
"398"	"chr2-148"	"chr2"	148000001	149000000	"."	1000000	1338	1260	1025	732	1118	1044	1349	1033	1215	724	2083	626	751	197	3091	2048	834	1254	829	0.385945	398	22551	0.00971166004132054	FALSE	0.00971166004132054	FALSE	NA
"399"	"chr2-149"	"chr2"	149000001	150000000	"."	1000000	1413	1184	1000	758	1084	1007	1306	1180	1279	816	2066	600	744	232	3311	2353	720	1274	893	0.390118	399	23220	0.0123927819783519	FALSE	0.00845249816857225	FALSE	NA
"400"	"chr2-150"	"chr2"	150000001	151000000	"."	1000000	1433	1308	899	762	1000	1091	1333	1120	1317	706	2080	661	704	193	3073	2257	777	1284	836	0.381339	400	22834	0.0111728972004082	FALSE	0.00801344250958891	FALSE	NA
"401"	"chr2-151"	"chr2"	151000001	152000000	"."	1000000	1381	1301	1030	750	1039	1029	1291	1168	1304	832	2009	626	732	232	3215	2391	814	1265	779	0.393952	401	23188	0.0104649496096522	FALSE	0.0104649496096522	FALSE	NA
"402"	"chr2-152"	"chr2"	152000001	153000000	"."	1000000	1351	1318	1003	759	1014	1054	1362	1020	1162	787	2057	590	679	182	3166	2206	829	1328	787	0.397536	402	22654	0.00847417824315955	FALSE	0.00847417824315955	FALSE	NA
"403"	"chr2-153"	"chr2"	153000001	154000000	"."	1000000	1352	1214	820	747	935	1023	1376	1035	1273	753	2035	515	703	210	3066	2309	799	1270	777	0.368857	403	22212	0.0115774548138751	FALSE	0.0115774548138751	FALSE	NA
"404"	"chr2-154"	"chr2"	154000001	155000000	"."	1000000	1196	1210	852	739	1024	1006	1436	1004	1199	770	1800	571	697	189	3001	2110	770	1155	797	0.353145	404	21526	0.010375655973298	FALSE	0.00594498353826203	FALSE	NA
"405"	"chr2-155"	"chr2"	155000001	156000000	"."	1000000	1316	1214	786	738	1007	1079	1326	944	1237	763	1810	589	702	212	2937	2109	702	1123	712	0.3443	405	21306	0.0197513446410268	FALSE	0.0197513446410268	FALSE	NA
"406"	"chr2-156"	"chr2"	156000001	157000000	"."	1000000	1286	1216	928	739	1026	1025	1339	1000	1231	793	2073	578	725	224	3115	2190	730	1201	830	0.37233	406	22249	0.00897680410556213	FALSE	0.0055596728046698	FALSE	NA
"407"	"chr2-157"	"chr2"	157000001	158000000	"."	1000000	1339	1181	989	838	1023	1123	1369	1046	1205	823	1945	644	748	216	3096	2301	788	1234	821	0.382133	407	22729	0.0149468992491498	FALSE	0.0149468992491498	FALSE	NA
"408"	"chr2-158"	"chr2"	158000001	159000000	"."	1000000	1350	1364	1036	744	1070	1053	1325	1093	1168	728	2013	589	769	199	3081	2311	783	1298	831	0.400111	408	22805	0.00907427110780526	FALSE	0.00907427110780526	FALSE	NA
"409"	"chr2-159"	"chr2"	159000001	160000000	"."	1000000	1388	1263	989	743	1057	1042	1307	1105	1299	834	1998	618	757	229	3154	2199	771	1267	848	0.3892	409	22868	0.00879360460371081	FALSE	0.00611993459365199	FALSE	NA
"410"	"chr2-160"	"chr2"	160000001	161000000	"."	1000000	1377	1276	1101	825	1088	1022	1248	1005	1294	871	2004	620	690	231	3311	2343	822	1241	856	0.391722	410	23225	0.017840938659473	FALSE	0.017840938659473	FALSE	NA
"411"	"chr2-161"	"chr2"	161000001	162000000	"."	1000000	1340	1181	976	706	987	1029	1309	1037	1253	754	1987	632	725	170	3143	2221	797	1251	826	0.366102	411	22324	0.0102540699136566	FALSE	0.0059812904257717	FALSE	NA
"412"	"chr2-162"	"chr2"	162000001	163000000	"."	1000000	1274	1191	974	688	1022	1050	1327	1050	1203	709	1779	588	639	200	2898	2124	718	1209	918	0.361334	412	21561	0.0140321879762795	FALSE	0.00963787624374818	FALSE	NA
"413"	"chr2-163"	"chr2"	163000001	164000000	"."	1000000	1382	1227	867	702	1070	1113	1370	1053	1310	717	1876	517	767	180	3043	2095	771	1224	801	0.360084	413	22085	0.0161847243447537	FALSE	0.0161847243447537	FALSE	NA
"414"	"chr2-164"	"chr2"	164000001	165000000	"."	1000000	1381	1245	891	720	1034	1100	1374	1020	1300	769	1928	599	668	244	2998	2177	739	1148	819	0.365015	414	22154	0.0207032849918823	FALSE	0.00945523043116183	FALSE	NA
"415"	"chr2-165"	"chr2"	165000001	166000000	"."	1000000	1296	1282	838	713	1108	1096	1269	1024	1248	742	1864	578	718	206	3082	2326	770	1197	844	0.36551	415	22201	0.00834003151181892	FALSE	0.00834003151181892	FALSE	NA
"416"	"chr2-166"	"chr2"	166000001	167000000	"."	1000000	1266	1132	922	748	1096	1064	1322	969	1200	719	1929	580	671	202	3116	2016	713	1185	798	0.355502	416	21648	0.00954982644538399	FALSE	0.00954982644538399	FALSE	NA
"417"	"chr2-167"	"chr2"	167000001	168000000	"."	1000000	1371	1263	876	827	1020	1094	1336	1058	1391	791	1972	615	775	222	3097	2219	739	1280	909	0.373078	417	22855	0.0168604355592026	FALSE	0.0168604355592026	FALSE	NA
"418"	"chr2-168"	"chr2"	168000001	169000000	"."	1000000	1300	1289	1077	714	1061	1021	1266	1176	1310	824	1953	571	712	198	3207	2291	760	1344	832	0.395189	418	22906	0.0113718422890332	FALSE	0.0069752372444491	FALSE	NA
"419"	"chr2-169"	"chr2"	169000001	170000000	"."	1000000	1361	1186	1009	735	1121	954	1311	925	1270	761	1974	600	743	210	3213	2135	755	1259	829	0.392954	419	22351	0.0127786240456651	FALSE	0.00869828945913649	FALSE	NA
"420"	"chr2-170"	"chr2"	170000001	171000000	"."	1000000	1363	1344	1071	762	1119	1048	1305	1143	1239	772	2016	656	668	256	3359	2211	838	1294	833	0.407596	420	23297	0.0204608320597407	FALSE	0.00907547531620586	FALSE	NA
"421"	"chr2-171"	"chr2"	171000001	172000000	"."	1000000	1296	1230	903	736	1031	1092	1381	1093	1212	767	1987	596	681	216	3206	2131	776	1256	913	0.395288	421	22503	0.00710052482765302	FALSE	0.00710052482765302	FALSE	NA
"422"	"chr2-172"	"chr2"	172000001	173000000	"."	1000000	1373	1332	938	722	1031	975	1281	1138	1221	789	1988	632	711	204	3344	2321	841	1224	950	0.41832	422	23015	0.00872679703491743	FALSE	0.00564249481742082	FALSE	NA
"423"	"chr2-173"	"chr2"	173000001	174000000	"."	1000000	1454	1328	989	797	1148	1038	1320	1067	1270	829	2110	615	653	212	3127	2349	826	1337	894	0.40656	423	23363	0.00662156643913376	FALSE	0.00662156643913376	FALSE	NA
"424"	"chr2-174"	"chr2"	174000001	175000000	"."	1000000	1216	1235	956	726	993	1007	1288	1061	1187	750	2017	649	754	202	3128	2346	795	1395	807	0.401388	424	22512	0.0119277986492359	FALSE	0.0119277986492359	FALSE	NA
"425"	"chr2-175"	"chr2"	175000001	176000000	"."	1000000	1353	1223	1078	820	1108	1034	1377	1037	1233	805	2076	665	656	181	3186	2250	804	1272	826	0.386967	425	22984	0.0172184096773405	FALSE	0.0172184096773405	FALSE	NA
"426"	"chr2-176"	"chr2"	176000001	177000000	"."	1000000	1354	1307	971	828	1106	926	1338	1069	1326	827	1936	639	729	199	3338	2364	845	1331	816	0.404027	426	23249	0.0106303874937115	FALSE	0.00702025101944575	FALSE	NA
"427"	"chr2-177"	"chr2"	177000001	178000000	"."	1000000	1412	1260	918	782	1034	1057	1311	1048	1235	828	1943	593	688	194	3157	2357	780	1233	869	0.393503	427	22699	0.0061697227359473	FALSE	0.0061697227359473	FALSE	NA
"428"	"chr2-178"	"chr2"	178000001	179000000	"."	1000000	1419	1198	997	683	1103	1034	1399	1139	1313	771	1895	637	687	234	3188	2237	781	1237	890	0.384706	428	22842	0.0146483311271201	FALSE	0.0104550307436223	FALSE	NA
"429"	"chr2-179"	"chr2"	179000001	180000000	"."	1000000	1381	1227	921	721	1043	1055	1318	1069	1327	821	1939	616	735	214	3046	2207	725	1146	838	0.373023	429	22349	0.0114821388147384	FALSE	0.0114821388147384	FALSE	NA
"430"	"chr2-180"	"chr2"	180000001	181000000	"."	1000000	1342	1262	974	744	1091	1072	1399	951	1146	833	1925	586	714	206	3084	2165	706	1230	811	0.363016	430	22241	0.0135882317904534	FALSE	0.0135882317904534	FALSE	NA
"431"	"chr2-181"	"chr2"	181000001	182000000	"."	1000000	1259	1305	968	727	1059	1138	1353	970	1213	807	1986	611	700	201	2928	2192	749	1213	860	0.367368	431	22239	0.0118033029646819	FALSE	0.0118033029646819	FALSE	NA
"432"	"chr2-182"	"chr2"	182000001	183000000	"."	1000000	1328	1183	897	743	1118	1049	1376	1029	1303	691	2011	592	776	198	3114	2246	816	1198	793	0.368754	432	22461	0.0102033230335082	FALSE	0.00699294344580137	FALSE	NA
"433"	"chr2-183"	"chr2"	183000001	184000000	"."	1000000	1297	1213	903	661	1083	1051	1310	1001	1351	681	1913	596	784	223	3001	2242	786	1331	858	0.370508	433	22285	0.0182664506086027	FALSE	0.0182664506086027	FALSE	NA
"434"	"chr2-184"	"chr2"	184000001	185000000	"."	1000000	1257	1204	925	762	1127	1050	1366	946	1217	691	1815	575	752	196	3005	2115	748	1132	858	0.341221	434	21741	0.0162737037645247	FALSE	0.0162737037645247	FALSE	NA
"435"	"chr2-185"	"chr2"	185000001	186000000	"."	1000000	1281	1185	863	746	1085	1104	1303	899	1193	688	1834	627	658	203	2943	2216	707	1213	782	0.345166	435	21530	0.0176291927134671	FALSE	0.0176291927134671	FALSE	NA
"436"	"chr2-186"	"chr2"	186000001	187000000	"."	1000000	1308	1196	840	696	1016	1104	1375	1009	1280	763	1966	598	773	214	3176	2105	733	1260	835	0.367408	436	22247	0.013748323141728	FALSE	0.013748323141728	FALSE	NA
"437"	"chr2-187"	"chr2"	187000001	188000000	"."	1000000	1372	1174	824	674	963	1132	1279	973	1349	766	1781	587	701	188	3123	2179	762	1152	830	0.35431	437	21809	0.0170627096575451	FALSE	0.0170627096575451	FALSE	NA
"438"	"chr2-188"	"chr2"	188000001	189000000	"."	1000000	1318	1233	827	747	1010	1040	1372	1014	1288	768	1809	616	705	208	2863	2015	758	1161	834	0.354799	438	21586	0.0144751837259524	FALSE	0.0144751837259524	FALSE	NA
"439"	"chr2-189"	"chr2"	189000001	190000000	"."	1000000	1329	1251	928	717	1070	1061	1341	1013	1261	740	1962	569	760	210	3047	2116	757	1198	857	0.367413	439	22187	0.00758239873999915	FALSE	0.00527992490122804	FALSE	NA
"440"	"chr2-190"	"chr2"	190000001	191000000	"."	1000000	1313	1302	967	813	1043	968	1372	978	1275	826	1940	590	706	224	3332	2336	816	1350	919	0.3896	440	23070	0.012554646684407	FALSE	0.012554646684407	FALSE	NA
"441"	"chr2-191"	"chr2"	191000001	192000000	"."	1000000	1344	1264	994	803	1116	1111	1300	1159	1281	816	2011	566	719	195	3222	2309	890	1230	779	0.391276	441	23109	0.00851111341655501	FALSE	0.00851111341655501	FALSE	NA
"442"	"chr2-192"	"chr2"	192000001	193000000	"."	1000000	1275	1153	901	695	1011	1037	1401	939	1197	685	1841	563	717	222	2917	2084	784	1163	870	0.350467	442	21455	0.0173615310351869	FALSE	0.0173615310351869	FALSE	NA
