# Program:featureCounts v2.0.0; Command:"/home/vera/bin/subread-2.0.0-source/bin/featureCounts" "-a" "/media/vera/big_data/coriandR/genom/bins.gtf" "-o" "pon.marburg.6p.fc.tsv" "-T" "8" "/media/vera/big_data/mr_genoms/marburg.gesund.september/62720_S6_L001.bam" "/media/vera/big_data/mr_genoms/marburg.gesund.september/63120_S8_L001.bam" "/media/vera/big_data/mr_genoms/marburg.gesund.september/63220_S9_L001.bam" "/media/vera/big_data/mr_genoms/marburg.gesund.september/63320_S1_L001.bam" "/media/vera/big_data/mr_genoms/marburg.gesund.september/63420_S1_L001.bam" "/media/vera/big_data/mr_genoms/marburg.gesund.september/63520_S2_L001.bam" 
Geneid	Chr	Start	End	Strand	Length	/media/vera/big_data/mr_genoms/marburg.gesund.september/62720_S6_L001.bam	/media/vera/big_data/mr_genoms/marburg.gesund.september/63120_S8_L001.bam	/media/vera/big_data/mr_genoms/marburg.gesund.september/63220_S9_L001.bam	/media/vera/big_data/mr_genoms/marburg.gesund.september/63320_S1_L001.bam	/media/vera/big_data/mr_genoms/marburg.gesund.september/63420_S1_L001.bam	/media/vera/big_data/mr_genoms/marburg.gesund.september/63520_S2_L001.bam
chr4-86	chr4	86000001	87000000	.	1000000	1378	1241	968	747	1053	1034
chr4-87	chr4	87000001	88000000	.	1000000	1401	1302	899	700	1087	1013
chr4-88	chr4	88000001	89000000	.	1000000	1422	1348	965	780	1077	1053
chr4-89	chr4	89000001	90000000	.	1000000	1294	1232	1000	663	1110	1036
chr4-90	chr4	90000001	91000000	.	1000000	1240	1251	901	704	1015	1073
chr4-91	chr4	91000001	92000000	.	1000000	1378	1198	781	702	1059	1099
chr4-92	chr4	92000001	93000000	.	1000000	1280	1265	815	723	1087	981
chr4-93	chr4	93000001	94000000	.	1000000	1311	1248	913	746	1055	1038
chr4-94	chr4	94000001	95000000	.	1000000	1387	1250	900	688	1057	1156
chr4-95	chr4	95000001	96000000	.	1000000	1307	1340	901	745	1146	1139
chr4-96	chr4	96000001	97000000	.	1000000	1287	1235	833	756	988	1029
chr4-97	chr4	97000001	98000000	.	1000000	1376	1223	790	689	1012	1144
chr4-98	chr4	98000001	99000000	.	1000000	1367	1262	906	701	1050	1017
chr4-99	chr4	99000001	100000000	.	1000000	1409	1228	934	725	1038	1119
chr4-100	chr4	100000001	101000000	.	1000000	1238	1178	904	755	1064	1042
chr4-101	chr4	101000001	102000000	.	1000000	1363	1281	945	746	1112	1115
chr4-102	chr4	102000001	103000000	.	1000000	1344	1257	1042	695	1069	997
chr4-103	chr4	103000001	104000000	.	1000000	1354	1165	895	764	1092	1018
chr4-104	chr4	104000001	105000000	.	1000000	1356	1240	931	750	1055	1125
chr4-105	chr4	105000001	106000000	.	1000000	1239	1224	950	756	1016	1041
chr4-106	chr4	106000001	107000000	.	1000000	1445	1252	884	708	1144	1069
chr4-107	chr4	107000001	108000000	.	1000000	1389	1238	935	747	1080	1078
chr4-108	chr4	108000001	109000000	.	1000000	1312	1223	979	737	1055	1154
chr4-109	chr4	109000001	110000000	.	1000000	1381	1275	922	758	1057	1040
chr4-110	chr4	110000001	111000000	.	1000000	1312	1389	965	706	1126	1057
chr4-111	chr4	111000001	112000000	.	1000000	1260	1236	914	742	1063	1164
chr4-112	chr4	112000001	113000000	.	1000000	1269	1191	1006	717	1066	1090
chr4-113	chr4	113000001	114000000	.	1000000	1296	1234	962	734	974	1036
chr4-114	chr4	114000001	115000000	.	1000000	1336	1276	898	702	1143	1022
chr4-115	chr4	115000001	116000000	.	1000000	1312	1171	726	697	1082	1000
chr4-116	chr4	116000001	117000000	.	1000000	1278	1225	794	697	1119	1010
chr4-117	chr4	117000001	118000000	.	1000000	1304	1271	838	730	1105	1027
chr4-118	chr4	118000001	119000000	.	1000000	1420	1252	997	774	1051	1058
chr4-119	chr4	119000001	120000000	.	1000000	1388	1297	952	748	1022	1118
chr4-120	chr4	120000001	121000000	.	1000000	1385	1187	901	728	1081	1116
chr4-121	chr4	121000001	122000000	.	1000000	1302	1282	1000	689	1049	1075
chr4-122	chr4	122000001	123000000	.	1000000	1398	1255	943	749	1053	1083
chr4-123	chr4	123000001	124000000	.	1000000	1401	1325	1015	692	1037	1049
chr4-124	chr4	124000001	125000000	.	1000000	1278	1147	813	768	1035	1062
chr4-125	chr4	125000001	126000000	.	1000000	1277	1234	896	753	1024	1126
chr4-126	chr4	126000001	127000000	.	1000000	1333	1125	772	689	1116	1045
chr4-127	chr4	127000001	128000000	.	1000000	1377	1325	937	728	1103	1077
chr4-128	chr4	128000001	129000000	.	1000000	1346	1331	941	733	1082	1048
chr4-129	chr4	129000001	130000000	.	1000000	1261	1178	913	750	1075	1039
chr4-130	chr4	130000001	131000000	.	1000000	1328	1149	847	720	1036	1097
chr4-131	chr4	131000001	132000000	.	1000000	1326	1233	761	712	993	1096
chr4-132	chr4	132000001	133000000	.	1000000	1251	1118	747	678	1012	1006
chr4-133	chr4	133000001	134000000	.	1000000	1290	1168	817	699	1043	1026
chr4-134	chr4	134000001	135000000	.	1000000	1312	1179	739	740	1100	1088
chr4-135	chr4	135000001	136000000	.	1000000	1210	1099	817	701	1008	1010
chr4-136	chr4	136000001	137000000	.	1000000	1277	1238	771	715	1101	1063
chr4-137	chr4	137000001	138000000	.	1000000	1335	1134	929	719	1029	1125
chr4-138	chr4	138000001	139000000	.	1000000	1318	1356	997	733	992	1076
chr4-139	chr4	139000001	140000000	.	1000000	1380	1323	1051	737	1153	1041
chr4-140	chr4	140000001	141000000	.	1000000	1450	1389	1023	734	1074	1007
chr4-141	chr4	141000001	142000000	.	1000000	1279	1198	1025	786	1032	1075
chr4-142	chr4	142000001	143000000	.	1000000	1345	1250	978	661	1071	1047
chr4-143	chr4	143000001	144000000	.	1000000	1402	1221	925	739	1046	1118
chr4-144	chr4	144000001	145000000	.	1000000	1308	1287	900	687	1051	1020
chr4-145	chr4	145000001	146000000	.	1000000	1379	1301	975	788	1085	1120
chr4-146	chr4	146000001	147000000	.	1000000	1388	1139	926	813	1031	1047
chr4-147	chr4	147000001	148000000	.	1000000	1398	1294	912	796	1094	985
chr4-148	chr4	148000001	149000000	.	1000000	1378	1276	976	746	963	1026
chr4-149	chr4	149000001	150000000	.	1000000	1360	1307	864	695	1039	1024
chr4-150	chr4	150000001	151000000	.	1000000	1214	1215	882	723	1019	999
chr4-151	chr4	151000001	152000000	.	1000000	1388	1289	1056	773	1160	1080
chr4-152	chr4	152000001	153000000	.	1000000	1398	1278	957	764	1088	1028
chr4-153	chr4	153000001	154000000	.	1000000	1374	1259	1001	692	1084	1051
chr4-154	chr4	154000001	155000000	.	1000000	1343	1190	945	664	1101	994
chr4-155	chr4	155000001	156000000	.	1000000	1339	1276	888	754	1045	1000
chr4-156	chr4	156000001	157000000	.	1000000	1333	1269	904	667	1098	1085
chr4-157	chr4	157000001	158000000	.	1000000	1355	1190	859	774	986	1056
chr4-158	chr4	158000001	159000000	.	1000000	1452	1310	1040	725	1075	1030
chr4-159	chr4	159000001	160000000	.	1000000	1392	1186	936	673	985	993
chr4-160	chr4	160000001	161000000	.	1000000	1267	1176	802	670	961	1021
chr4-161	chr4	161000001	162000000	.	1000000	1285	1178	783	664	1039	1043
chr4-162	chr4	162000001	163000000	.	1000000	1335	1224	859	677	1144	1052
chr4-163	chr4	163000001	164000000	.	1000000	1329	1239	947	794	1133	949
chr4-164	chr4	164000001	165000000	.	1000000	1353	1205	837	739	930	1060
chr4-165	chr4	165000001	166000000	.	1000000	1280	1277	933	749	1108	1017
chr4-166	chr4	166000001	167000000	.	1000000	1322	1306	775	695	1087	1084
chr4-167	chr4	167000001	168000000	.	1000000	1348	1215	760	718	1058	1068
chr4-168	chr4	168000001	169000000	.	1000000	1267	1257	906	717	1042	1026
chr4-169	chr4	169000001	170000000	.	1000000	1250	1276	863	713	975	1018
chr4-170	chr4	170000001	171000000	.	1000000	1190	1289	815	690	1102	1047
chr4-171	chr4	171000001	172000000	.	1000000	1298	1231	755	702	937	1097
chr4-172	chr4	172000001	173000000	.	1000000	1201	1226	876	731	1011	1077
chr4-173	chr4	173000001	174000000	.	1000000	1359	1374	999	769	1072	1120
chr4-174	chr4	174000001	175000000	.	1000000	1328	1253	846	775	1082	1113
chr4-175	chr4	175000001	176000000	.	1000000	1312	1215	882	720	1044	979
chr4-176	chr4	176000001	177000000	.	1000000	1321	1207	980	681	979	997
chr4-177	chr4	177000001	178000000	.	1000000	1330	1139	945	698	1022	961
chr4-178	chr4	178000001	179000000	.	1000000	1362	1269	813	741	1000	1079
chr4-179	chr4	179000001	180000000	.	1000000	1320	1243	799	725	1024	1037
chr4-180	chr4	180000001	181000000	.	1000000	1313	1244	833	704	1086	1097
chr4-181	chr4	181000001	182000000	.	1000000	1390	1235	847	774	1046	1069
chr4-182	chr4	182000001	183000000	.	1000000	1262	1263	1024	736	1020	1022
chr4-183	chr4	183000001	184000000	.	1000000	1297	1316	1157	794	1125	995
chr4-184	chr4	184000001	185000000	.	1000000	1397	1244	1034	747	1029	992
chr4-185	chr4	185000001	186000000	.	1000000	1333	1246	940	744	1160	1046
chr4-186	chr4	186000001	187000000	.	1000000	1265	1276	936	779	1031	969
chr4-187	chr4	187000001	188000000	.	1000000	1402	1254	844	748	1105	1063
chr4-188	chr4	188000001	189000000	.	1000000	1291	1253	835	651	1101	1134
chr4-189	chr4	189000001	190000000	.	1000000	1352	1405	1024	861	1230	1171
chr4-190	chr4	190000001	190214555	.	214555	826	1042	565	628	860	722
chr5-0	chr5	1	1000000	.	1000000	1491	1413	928	788	1191	1101
chr5-1	chr5	1000001	2000000	.	1000000	1376	1314	1060	715	1098	937
chr5-2	chr5	2000001	3000000	.	1000000	1352	1329	889	816	980	1062
chr5-3	chr5	3000001	4000000	.	1000000	1351	1298	897	751	1056	985
chr5-4	chr5	4000001	5000000	.	1000000	1404	1399	964	782	1101	1025
chr5-5	chr5	5000001	6000000	.	1000000	1375	1298	889	756	1120	1124
chr5-6	chr5	6000001	7000000	.	1000000	1490	1295	1082	770	1071	1132
chr5-7	chr5	7000001	8000000	.	1000000	1363	1254	950	733	1107	1073
chr5-8	chr5	8000001	9000000	.	1000000	1341	1266	982	742	1016	1009
chr5-9	chr5	9000001	10000000	.	1000000	1338	1197	1030	724	1080	1166
chr5-10	chr5	10000001	11000000	.	1000000	1411	1292	982	730	1086	1058
chr5-11	chr5	11000001	12000000	.	1000000	1301	1251	1027	774	1023	1067
chr5-12	chr5	12000001	13000000	.	1000000	1365	1263	782	766	1084	1028
chr5-13	chr5	13000001	14000000	.	1000000	1370	1267	957	795	1054	1107
chr5-14	chr5	14000001	15000000	.	1000000	1346	1231	1054	835	1104	1055
chr5-15	chr5	15000001	16000000	.	1000000	1325	1218	1000	864	1056	1019
chr5-16	chr5	16000001	17000000	.	1000000	1487	1258	965	734	1097	1104
chr5-17	chr5	17000001	18000000	.	1000000	1316	1459	1079	781	1263	1142
chr5-18	chr5	18000001	19000000	.	1000000	1276	1219	880	706	1035	1045
chr5-19	chr5	19000001	20000000	.	1000000	1213	1196	791	701	1036	1047
chr5-20	chr5	20000001	21000000	.	1000000	1404	1205	727	734	1020	1137
chr5-21	chr5	21000001	22000000	.	1000000	1403	1273	905	720	1032	1225
chr5-22	chr5	22000001	23000000	.	1000000	1255	1276	800	748	1022	1067
chr5-23	chr5	23000001	24000000	.	1000000	1318	1215	788	770	1030	961
chr5-24	chr5	24000001	25000000	.	1000000	1242	1212	811	752	1041	1144
chr5-25	chr5	25000001	26000000	.	1000000	1221	1214	814	738	1061	1076
chr5-26	chr5	26000001	27000000	.	1000000	1243	1098	829	742	1026	1054
chr5-27	chr5	27000001	28000000	.	1000000	1280	1126	800	748	1075	1055
chr5-28	chr5	28000001	29000000	.	1000000	1312	1170	777	669	1062	1011
chr5-29	chr5	29000001	30000000	.	1000000	1318	1066	745	714	1073	1196
chr5-30	chr5	30000001	31000000	.	1000000	1263	1175	851	696	977	1110
chr5-31	chr5	31000001	32000000	.	1000000	1398	1245	994	716	1107	1018
chr5-32	chr5	32000001	33000000	.	1000000	1383	1308	1000	782	1144	917
chr5-33	chr5	33000001	34000000	.	1000000	1304	1290	960	801	1063	1026
chr5-34	chr5	34000001	35000000	.	1000000	1457	1493	1124	819	1146	1205
chr5-35	chr5	35000001	36000000	.	1000000	1268	1332	916	787	1075	976
chr5-36	chr5	36000001	37000000	.	1000000	1377	1334	947	752	1096	1072
chr5-37	chr5	37000001	38000000	.	1000000	1374	1364	907	800	1146	1039
chr5-38	chr5	38000001	39000000	.	1000000	1475	1298	933	788	1033	1082
chr5-39	chr5	39000001	40000000	.	1000000	1295	1241	1042	708	1092	1027
chr5-40	chr5	40000001	41000000	.	1000000	1414	1229	929	694	1051	948
chr5-41	chr5	41000001	42000000	.	1000000	1464	1359	964	741	912	1095
chr5-42	chr5	42000001	43000000	.	1000000	1317	1373	891	709	1105	1035
chr5-43	chr5	43000001	44000000	.	1000000	1423	1274	1014	725	1085	1117
chr5-44	chr5	44000001	45000000	.	1000000	1296	1195	886	771	990	1105
chr5-45	chr5	45000001	46000000	.	1000000	1397	1255	809	682	1025	1056
chr5-46	chr5	46000001	47000000	.	1000000	1283	1050	627	625	799	822
chr5-47	chr5	47000001	48000000	.	1000000	313	474	246	229	205	207
chr5-48	chr5	48000001	49000000	.	1000000	0	0	0	0	0	0
chr5-49	chr5	49000001	50000000	.	1000000	3122	2955	2493	1767	2591	2455
chr5-50	chr5	50000001	51000000	.	1000000	1598	1424	1124	826	1204	1153
chr5-51	chr5	51000001	52000000	.	1000000	1272	1215	872	749	1150	1041
chr5-52	chr5	52000001	53000000	.	1000000	1327	1203	918	825	1136	1028
chr5-53	chr5	53000001	54000000	.	1000000	1370	1294	996	835	1128	1050
chr5-54	chr5	54000001	55000000	.	1000000	1398	1282	1034	754	1049	1008
chr5-55	chr5	55000001	56000000	.	1000000	1421	1241	974	706	1055	1129
chr5-56	chr5	56000001	57000000	.	1000000	1410	1317	916	740	1048	1037
chr5-57	chr5	57000001	58000000	.	1000000	1354	1392	1021	761	1115	1018
chr5-58	chr5	58000001	59000000	.	1000000	1324	1288	959	728	1049	1047
chr5-59	chr5	59000001	60000000	.	1000000	1477	1278	1013	827	1011	983
chr5-60	chr5	60000001	61000000	.	1000000	1364	1343	940	710	1110	1014
chr5-61	chr5	61000001	62000000	.	1000000	1390	1265	1006	733	1079	1196
chr5-62	chr5	62000001	63000000	.	1000000	1325	1415	1006	699	1073	1092
chr5-63	chr5	63000001	64000000	.	1000000	1296	1292	861	669	1062	1047
chr5-64	chr5	64000001	65000000	.	1000000	1362	1232	973	742	1084	1017
chr5-65	chr5	65000001	66000000	.	1000000	1351	1203	886	704	1071	1036
chr5-66	chr5	66000001	67000000	.	1000000	1361	1287	964	755	1052	1043
chr5-67	chr5	67000001	68000000	.	1000000	1348	1163	1011	806	1112	993
chr5-68	chr5	68000001	69000000	.	1000000	1362	1294	997	788	1086	1131
chr5-69	chr5	69000001	70000000	.	1000000	1161	1065	930	660	1089	1039
chr5-70	chr5	70000001	71000000	.	1000000	1027	868	909	665	1160	1151
chr5-71	chr5	71000001	72000000	.	1000000	1278	1295	972	765	1181	1144
chr5-72	chr5	72000001	73000000	.	1000000	1504	1291	1033	721	1147	1045
chr5-73	chr5	73000001	74000000	.	1000000	1299	1172	997	760	1097	1044
chr5-74	chr5	74000001	75000000	.	1000000	1411	1298	976	758	1095	1035
chr5-75	chr5	75000001	76000000	.	1000000	1361	1242	893	752	1068	1071
chr5-76	chr5	76000001	77000000	.	1000000	1403	1363	1058	752	1051	1053
chr5-77	chr5	77000001	78000000	.	1000000	1349	1312	963	803	1055	1074
chr5-78	chr5	78000001	79000000	.	1000000	1377	1312	905	678	960	983
chr5-79	chr5	79000001	80000000	.	1000000	1331	1329	997	776	1058	1017
chr5-80	chr5	80000001	81000000	.	1000000	1358	1266	912	741	1035	996
chr5-81	chr5	81000001	82000000	.	1000000	1296	1237	1001	784	1088	1115
chr5-82	chr5	82000001	83000000	.	1000000	1401	1274	976	784	1118	996
chr5-83	chr5	83000001	84000000	.	1000000	1275	1295	946	749	1126	1002
chr5-84	chr5	84000001	85000000	.	1000000	1320	1174	799	695	980	1120
chr5-85	chr5	85000001	86000000	.	1000000	1224	1192	753	709	1043	1020
chr5-86	chr5	86000001	87000000	.	1000000	1304	1108	915	709	1063	984
chr5-87	chr5	87000001	88000000	.	1000000	1325	1247	916	764	969	1102
chr5-88	chr5	88000001	89000000	.	1000000	1376	1265	917	695	1022	1066
chr5-89	chr5	89000001	90000000	.	1000000	1319	1294	916	707	1027	1109
chr5-90	chr5	90000001	91000000	.	1000000	1370	1294	981	766	1077	1050
chr5-91	chr5	91000001	92000000	.	1000000	1418	1257	912	687	1017	1022
chr5-92	chr5	92000001	93000000	.	1000000	1275	1208	832	695	1048	1072
chr5-93	chr5	93000001	94000000	.	1000000	1275	1214	846	823	1002	1119
chr5-94	chr5	94000001	95000000	.	1000000	1272	1280	946	752	998	1011
chr5-95	chr5	95000001	96000000	.	1000000	1448	1223	1037	761	1012	994
chr5-96	chr5	96000001	97000000	.	1000000	1350	1287	994	822	1040	1053
chr5-97	chr5	97000001	98000000	.	1000000	1361	1230	940	878	1075	1060
chr5-98	chr5	98000001	99000000	.	1000000	1250	1302	833	753	990	1119
chr5-99	chr5	99000001	100000000	.	1000000	1287	1249	884	734	1019	1108
chr5-100	chr5	100000001	101000000	.	1000000	1285	1186	877	706	1098	1057
chr5-101	chr5	101000001	102000000	.	1000000	1236	1249	860	788	1042	1003
chr5-102	chr5	102000001	103000000	.	1000000	1250	1237	894	771	1113	1070
chr5-103	chr5	103000001	104000000	.	1000000	1361	1287	955	724	1114	1085
chr5-104	chr5	104000001	105000000	.	1000000	1247	1155	807	756	1009	1106
chr5-105	chr5	105000001	106000000	.	1000000	1241	1140	844	700	1063	1035
chr5-106	chr5	106000001	107000000	.	1000000	1342	1190	778	683	1002	1084
chr5-107	chr5	107000001	108000000	.	1000000	1438	1250	954	846	1041	1052
chr5-108	chr5	108000001	109000000	.	1000000	1312	1320	860	685	1117	1061
chr5-109	chr5	109000001	110000000	.	1000000	1296	1241	986	757	1041	1105
chr5-110	chr5	110000001	111000000	.	1000000	1434	1251	910	722	1078	1083
chr5-111	chr5	111000001	112000000	.	1000000	1378	1265	1054	782	978	1131
chr5-112	chr5	112000001	113000000	.	1000000	1379	1386	962	725	1134	1026
chr5-113	chr5	113000001	114000000	.	1000000	1383	1278	992	764	1077	1032
chr5-114	chr5	114000001	115000000	.	1000000	1290	1294	871	754	1042	1136
chr5-115	chr5	115000001	116000000	.	1000000	1361	1294	972	727	1013	1098
chr5-116	chr5	116000001	117000000	.	1000000	1359	1359	921	740	1110	1035
chr5-117	chr5	117000001	118000000	.	1000000	1292	1249	866	804	947	1096
chr5-118	chr5	118000001	119000000	.	1000000	1335	1222	936	774	1024	1102
chr5-119	chr5	119000001	120000000	.	1000000	1450	1228	1072	720	1062	1049
chr5-120	chr5	120000001	121000000	.	1000000	1368	1123	793	795	1060	1103
chr5-121	chr5	121000001	122000000	.	1000000	1329	1207	844	720	1004	991
chr5-122	chr5	122000001	123000000	.	1000000	1333	1296	889	705	1103	1084
chr5-123	chr5	123000001	124000000	.	1000000	1367	1353	920	758	999	1153
chr5-124	chr5	124000001	125000000	.	1000000	1327	1311	1009	730	1161	1048
chr5-125	chr5	125000001	126000000	.	1000000	1265	1288	890	772	1087	983
chr5-126	chr5	126000001	127000000	.	1000000	1405	1339	989	767	1138	983
chr5-127	chr5	127000001	128000000	.	1000000	1422	1301	930	736	1173	992
chr5-128	chr5	128000001	129000000	.	1000000	1300	1278	879	766	1048	1104
chr5-129	chr5	129000001	130000000	.	1000000	1395	1217	895	724	1016	1049
chr5-130	chr5	130000001	131000000	.	1000000	1325	1305	887	765	1000	1087
chr5-131	chr5	131000001	132000000	.	1000000	1402	1300	1056	749	1083	1023
chr5-132	chr5	132000001	133000000	.	1000000	1274	1384	1063	761	1070	1096
chr5-133	chr5	133000001	134000000	.	1000000	1391	1322	1017	809	1101	1082
chr5-134	chr5	134000001	135000000	.	1000000	1324	1254	934	677	1094	985
chr5-135	chr5	135000001	136000000	.	1000000	1416	1358	1066	837	1063	1031
chr5-136	chr5	136000001	137000000	.	1000000	1279	1387	968	776	974	1077
chr5-137	chr5	137000001	138000000	.	1000000	1448	1320	976	809	1120	1146
chr5-138	chr5	138000001	139000000	.	1000000	1355	1388	1039	774	1076	1025
chr5-139	chr5	139000001	140000000	.	1000000	1344	1310	992	763	1122	1019
chr5-140	chr5	140000001	141000000	.	1000000	1287	1397	907	742	1050	1050
chr5-141	chr5	141000001	142000000	.	1000000	1332	1359	1016	737	1034	1055
chr5-142	chr5	142000001	143000000	.	1000000	1409	1441	995	736	1142	1142
chr5-143	chr5	143000001	144000000	.	1000000	1503	1289	1015	721	1139	985
chr5-144	chr5	144000001	145000000	.	1000000	1284	1201	868	683	1099	1035
chr5-145	chr5	145000001	146000000	.	1000000	1277	1310	892	776	1074	1116
chr5-146	chr5	146000001	147000000	.	1000000	1333	1250	1013	745	1091	1093
chr5-147	chr5	147000001	148000000	.	1000000	1321	1297	968	776	1083	1148
chr5-148	chr5	148000001	149000000	.	1000000	1402	1252	966	768	970	954
chr5-149	chr5	149000001	150000000	.	1000000	1368	1391	1018	733	1123	1096
chr5-150	chr5	150000001	151000000	.	1000000	1405	1438	1033	766	1099	1045
chr5-151	chr5	151000001	152000000	.	1000000	1378	1368	1076	788	1087	1056
chr5-152	chr5	152000001	153000000	.	1000000	1316	1289	953	791	1125	1081
chr5-153	chr5	153000001	154000000	.	1000000	1442	1344	992	733	1089	1074
chr5-154	chr5	154000001	155000000	.	1000000	1416	1368	983	791	1119	1163
chr5-155	chr5	155000001	156000000	.	1000000	1424	1315	916	789	1096	1065
chr5-156	chr5	156000001	157000000	.	1000000	1371	1328	950	754	1027	1143
chr5-157	chr5	157000001	158000000	.	1000000	1450	1300	1034	762	1190	1099
chr5-158	chr5	158000001	159000000	.	1000000	1306	1221	1009	794	1039	1085
chr5-159	chr5	159000001	160000000	.	1000000	1287	1256	1033	740	1138	1117
chr5-160	chr5	160000001	161000000	.	1000000	1339	1351	1062	726	1052	1045
chr5-161	chr5	161000001	162000000	.	1000000	1426	1256	823	729	1111	1044
chr5-162	chr5	162000001	163000000	.	1000000	1346	1163	850	741	1082	1068
chr5-163	chr5	163000001	164000000	.	1000000	1359	1159	935	790	1030	1080
chr5-164	chr5	164000001	165000000	.	1000000	1333	1179	884	808	1099	980
chr5-165	chr5	165000001	166000000	.	1000000	1422	1288	840	757	1060	1097
chr5-166	chr5	166000001	167000000	.	1000000	1265	1229	846	860	892	1080
chr5-167	chr5	167000001	168000000	.	1000000	1347	1257	907	710	1119	1148
chr5-168	chr5	168000001	169000000	.	1000000	1389	1367	1091	725	1086	1022
chr5-169	chr5	169000001	170000000	.	1000000	1423	1309	1033	849	1128	1082
chr5-170	chr5	170000001	171000000	.	1000000	1435	1327	1058	774	1078	1003
chr5-171	chr5	171000001	172000000	.	1000000	1476	1284	920	808	1098	1013
chr5-172	chr5	172000001	173000000	.	1000000	1407	1384	1138	819	1120	929
chr5-173	chr5	173000001	174000000	.	1000000	1459	1354	971	740	1097	1069
chr5-174	chr5	174000001	175000000	.	1000000	1414	1308	982	765	1055	983
chr5-175	chr5	175000001	176000000	.	1000000	1395	1345	1034	794	1020	1023
chr5-176	chr5	176000001	177000000	.	1000000	1437	1390	964	786	1104	1064
chr5-177	chr5	177000001	178000000	.	1000000	1271	1342	933	630	1080	956
chr5-178	chr5	178000001	179000000	.	1000000	1419	1301	1032	755	1051	977
chr5-179	chr5	179000001	180000000	.	1000000	1396	1225	1065	760	995	1064
chr5-180	chr5	180000001	181000000	.	1000000	1299	1282	1001	791	1115	1060
chr5-181	chr5	181000001	181538259	.	538259	584	541	393	330	471	541
chr6-0	chr6	1	1000000	.	1000000	1315	1327	952	757	1048	1144
chr6-1	chr6	1000001	2000000	.	1000000	1418	1372	983	771	1051	916
chr6-2	chr6	2000001	3000000	.	1000000	1336	1331	970	783	1050	1111
chr6-3	chr6	3000001	4000000	.	1000000	1336	1356	1050	706	1066	1097
chr6-4	chr6	4000001	5000000	.	1000000	1462	1330	963	763	1060	1049
chr6-5	chr6	5000001	6000000	.	1000000	1527	1237	1032	791	1061	1031
chr6-6	chr6	6000001	7000000	.	1000000	1470	1342	937	746	1063	948
chr6-7	chr6	7000001	8000000	.	1000000	1414	1263	1058	827	1031	1046
chr6-8	chr6	8000001	9000000	.	1000000	1393	1334	1040	752	1081	1103
chr6-9	chr6	9000001	10000000	.	1000000	1386	1312	843	725	1051	992
chr6-10	chr6	10000001	11000000	.	1000000	1436	1225	934	763	1101	1091
chr6-11	chr6	11000001	12000000	.	1000000	1435	1212	1018	782	1043	1000
chr6-12	chr6	12000001	13000000	.	1000000	1429	1262	1061	717	1134	1085
chr6-13	chr6	13000001	14000000	.	1000000	1424	1389	1009	700	1031	1023
chr6-14	chr6	14000001	15000000	.	1000000	1395	1373	1007	660	1035	1046
chr6-15	chr6	15000001	16000000	.	1000000	1344	1368	997	775	1105	979
chr6-16	chr6	16000001	17000000	.	1000000	1414	1221	1027	806	1045	1111
chr6-17	chr6	17000001	18000000	.	1000000	1318	1330	1110	684	1142	965
chr6-18	chr6	18000001	19000000	.	1000000	1350	1356	969	705	1102	1190
chr6-19	chr6	19000001	20000000	.	1000000	1324	1270	939	812	1081	1121
chr6-20	chr6	20000001	21000000	.	1000000	1393	1275	970	770	1047	1078
chr6-21	chr6	21000001	22000000	.	1000000	1299	1275	980	765	1015	1084
chr6-22	chr6	22000001	23000000	.	1000000	1205	1272	891	706	1095	1016
chr6-23	chr6	23000001	24000000	.	1000000	1346	1280	824	784	1003	1067
chr6-24	chr6	24000001	25000000	.	1000000	1287	1353	956	794	1046	1016
chr6-25	chr6	25000001	26000000	.	1000000	1379	1174	1098	784	1089	1047
chr6-26	chr6	26000001	27000000	.	1000000	1380	1235	1023	831	1013	1027
chr6-27	chr6	27000001	28000000	.	1000000	1334	1294	951	764	1059	1060
chr6-28	chr6	28000001	29000000	.	1000000	1292	1304	1001	758	1058	1042
chr6-29	chr6	29000001	30000000	.	1000000	1307	1275	1016	755	1030	1019
chr6-30	chr6	30000001	31000000	.	1000000	1322	1295	1036	809	994	965
chr6-31	chr6	31000001	32000000	.	1000000	1512	1433	1005	747	960	937
chr6-32	chr6	32000001	33000000	.	1000000	1222	1147	1023	680	996	956
chr6-33	chr6	33000001	34000000	.	1000000	1474	1306	878	757	1071	944
chr6-34	chr6	34000001	35000000	.	1000000	1343	1294	992	767	1122	1026
chr6-35	chr6	35000001	36000000	.	1000000	1256	1234	1039	734	1116	1007
chr6-36	chr6	36000001	37000000	.	1000000	1412	1366	1026	795	1038	963
chr6-37	chr6	37000001	38000000	.	1000000	1333	1215	1012	722	1060	997
chr6-38	chr6	38000001	39000000	.	1000000	1435	1408	1007	706	1088	1077
chr6-39	chr6	39000001	40000000	.	1000000	1388	1319	995	803	1107	1000
chr6-40	chr6	40000001	41000000	.	1000000	1388	1328	1059	805	1165	1011
chr6-41	chr6	41000001	42000000	.	1000000	1490	1268	956	775	1081	975
chr6-42	chr6	42000001	43000000	.	1000000	1348	1314	1003	746	976	933
chr6-43	chr6	43000001	44000000	.	1000000	1349	1334	936	740	1031	1025
chr6-44	chr6	44000001	45000000	.	1000000	1343	1310	960	727	1050	997
chr6-45	chr6	45000001	46000000	.	1000000	1457	1254	1001	709	1052	1018
chr6-46	chr6	46000001	47000000	.	1000000	1454	1321	1048	819	1054	1012
chr6-47	chr6	47000001	48000000	.	1000000	1358	1310	1029	697	1044	1112
