""	"Geneid"	"Chr"	"Start"	"End"	"Strand"	"Length"	"62720_S6_L001.bam"	"63120_S8_L001.bam"	"63220_S9_L001.bam"	"63320_S1_L001.bam"	"63420_S1_L001.bam"	"63520_S2_L001.bam"	"63620_S3_L001.bam"	"63720_S4_L001.bam"	"63820_S5_L001.bam"	"64820_S7_L001.bam"	"AML11_S6_L001.bam"	"AML12_S6_L001.bam"	"AML13_S7_L001.bam"	"AML14_S8_L001.bam"	"healthy1_S4_L001.bam"	"healthy2_S5_L001.bam"	"healthy3_S6_L001.bam"	"Kontrolle-karyotype_S6_L001.bam"	"WholeGenomeHealthy_S7_L001.bam"	"gc"	"ploidy"	"gender"	"bin"	"sum"	"mean"	"norm.median"	"norm.sd"	"nnorm.var"	"gc_blocked"	"norm.clean.mean"	"norm.clean.median"	"norm.clean.var"	"norm.clean.sd"	"norm.clean.iqr"	"var_blocked"	"blocked"
"769"	"chr4-77"	"chr4"	77000001	78000000	"."	1000000	1336	1400	978	834	1038	967	1374	1224	1209	834	2102	574	724	217	3402	2342	846	1265	834	0.404645	2	"neutral"	769	23500	1236.84210526316	1.03039215686274	0.0534347357151537	0.00268931852187227	FALSE	1.03147955010411	1.03039215686274	0.00285527098094832	0.0534347357151537	0.0682627788019194	FALSE	FALSE
"770"	"chr4-78"	"chr4"	78000001	79000000	"."	1000000	1399	1289	1011	671	1013	1067	1314	1162	1254	833	2142	619	714	214	3089	2339	770	1316	873	0.390437	2	"neutral"	770	23089	1215.21052631579	1.02793834296724	0.0479825995401747	0.00217888050934592	FALSE	1.01790271770045	1.02793834296724	0.00230232985863277	0.0479825995401747	0.047693341584637	FALSE	FALSE
"771"	"chr4-79"	"chr4"	79000001	80000000	"."	1000000	1277	1262	927	781	1032	1111	1320	1006	1283	748	1976	569	701	211	3074	2091	826	1322	888	0.360078	2	"neutral"	771	22405	1179.21052631579	0.989803921568627	0.0469185733576864	0.00224693886389531	FALSE	0.994816165792869	0.989803921568627	0.0022013525259206	0.0469185733576864	0.0679844847681332	FALSE	FALSE
"772"	"chr4-80"	"chr4"	80000001	81000000	"."	1000000	1304	1246	983	715	1025	958	1276	944	1224	787	1915	645	757	239	3238	2140	743	1250	848	0.364089	2	"neutral"	772	22237	1170.36842105263	0.977254901960784	0.0711057664264644	0.0052941217995764	FALSE	0.979780239967249	0.974167785835796	0.00304817798742855	0.0552103068948955	0.0678366898449468	FALSE	FALSE
"773"	"chr4-81"	"chr4"	81000001	82000000	"."	1000000	1323	1299	1010	796	1083	1104	1359	1094	1210	867	2069	600	764	190	3220	2410	820	1305	860	0.386268	2	"neutral"	773	23383	1230.68421052632	1.01882352941176	0.0432840310875557	0.00180491796631226	FALSE	1.02810273630545	1.01882352941176	0.00187350734718849	0.0432840310875557	0.049979305025925	FALSE	FALSE
"774"	"chr4-82"	"chr4"	82000001	83000000	"."	1000000	1307	1346	887	767	1022	1090	1283	1105	1213	799	2153	624	723	178	3342	2413	824	1250	870	0.408747	2	"neutral"	774	23196	1220.84210526316	1.02688585036104	0.049110492910726	0.00228720054995574	FALSE	1.00856843799836	1.02688585036104	0.00241184051393447	0.049110492910726	0.0741829733188952	FALSE	FALSE
"775"	"chr4-83"	"chr4"	83000001	84000000	"."	1000000	1344	1341	1029	679	1103	1035	1260	1123	1286	783	1981	638	721	157	3113	2266	825	1283	913	0.401444	2	"neutral"	775	22880	1204.21052631579	1.01424870466321	0.0716899790373565	0.00499606388794931	FALSE	1.01538621719271	1.01638361159087	0.0022809366127365	0.0477591521358629	0.0424626489674562	FALSE	FALSE
"776"	"chr4-84"	"chr4"	84000001	85000000	"."	1000000	1319	1316	931	792	1083	1055	1285	1037	1222	805	1960	645	786	216	3249	2206	829	1326	881	0.38047	2	"neutral"	776	22943	1207.52631578947	1.01881467544685	0.046934385586816	0.00212222726450023	FALSE	1.0202097519522	1.01881467544685	0.00220283655041192	0.046934385586816	0.0727617747910164	FALSE	FALSE
"777"	"chr4-85"	"chr4"	85000001	86000000	"."	1000000	1353	1276	958	736	969	1022	1292	995	1247	796	1862	579	679	206	3138	2221	793	1275	874	0.370754	2	"neutral"	777	22271	1172.15789473684	0.984585741811175	0.0378252252615005	0.00147589669955252	FALSE	0.983411549064764	0.984585741811175	0.00143074766608326	0.0378252252615005	0.0321860940903069	FALSE	FALSE
"778"	"chr4-86"	"chr4"	86000001	87000000	"."	1000000	1378	1241	968	747	1053	1034	1326	1022	1318	809	2041	627	680	209	3223	2154	780	1183	907	0.38041	2	"neutral"	778	22700	1194.73684210526	1.00049019607843	0.0439359494777268	0.00192847652984695	FALSE	1.00262547148235	1.00049019607843	0.00193036765650936	0.0439359494777268	0.0577160579598528	FALSE	FALSE
"779"	"chr4-87"	"chr4"	87000001	88000000	"."	1000000	1401	1302	899	700	1087	1013	1335	1089	1336	866	1963	661	693	224	3236	2247	771	1350	866	0.393348	2	"neutral"	779	23039	1212.57894736842	1.01598173515982	0.0567603938071274	0.0031211813194663	FALSE	1.01974253699275	1.01598173515982	0.00322174230514019	0.0567603938071274	0.0722020135564616	FALSE	FALSE
"780"	"chr4-88"	"chr4"	88000001	89000000	"."	1000000	1422	1348	965	780	1077	1053	1311	1108	1253	798	2038	597	714	205	3184	2311	830	1325	843	0.397689	2	"neutral"	780	23162	1219.05263157895	1.01485148514851	0.0200653654588671	0.000390921147609238	FALSE	1.01997058657978	1.01485148514851	0.000402618890997897	0.0200653654588671	0.0166677174544603	FALSE	FALSE
"781"	"chr4-89"	"chr4"	89000001	90000000	"."	1000000	1294	1232	1000	663	1110	1036	1398	1063	1319	781	1984	598	686	234	3068	2243	819	1211	819	0.372874	2	"neutral"	781	22558	1187.26315789474	0.986746987951807	0.0576887338006434	0.00341798690767883	FALSE	0.992567524439289	0.985691316627352	0.00199093072809976	0.044619846796014	0.0452408620425425	FALSE	FALSE
"782"	"chr4-90"	"chr4"	90000001	91000000	"."	1000000	1240	1251	901	704	1015	1073	1354	958	1312	730	1834	582	731	230	2924	2107	736	1199	909	0.352739	2	"neutral"	782	21790	1146.84210526316	0.949420442571127	0.0714106090298131	0.00565728837280593	FALSE	0.966232469551902	0.949103752282868	0.0037434807477841	0.0611839909435801	0.099828702994021	FALSE	FALSE
"783"	"chr4-91"	"chr4"	91000001	92000000	"."	1000000	1378	1198	781	702	1059	1099	1263	1017	1243	744	1817	570	730	234	2974	2137	768	1195	825	0.35247	2	"neutral"	783	21734	1143.89473684211	0.961187214611872	0.0701247541299559	0.00532263557622074	FALSE	0.967565591929999	0.961187214611872	0.00195600112273567	0.0442267014679557	0.0567716561055988	FALSE	FALSE
"784"	"chr4-92"	"chr4"	92000001	93000000	"."	1000000	1280	1265	815	723	1087	981	1353	920	1243	743	1856	580	660	196	2881	2163	744	1191	727	0.349002	2	"neutral"	784	21408	1126.73684210526	0.947446336047372	0.0519487426768114	0.00300635900143455	FALSE	0.944474936628753	0.947446336047372	0.00269867186570157	0.0519487426768114	0.064560969183893	FALSE	FALSE
"785"	"chr4-93"	"chr4"	93000001	94000000	"."	1000000	1311	1248	913	746	1055	1038	1324	978	1254	796	1996	610	777	209	2979	2156	809	1178	813	0.355924	2	"neutral"	785	22190	1167.89473684211	0.992474129821261	0.0472917352029235	0.00227055542791411	FALSE	0.988070095620148	0.992474129821261	0.00223650821850343	0.0472917352029235	0.0407866309478132	FALSE	FALSE
"786"	"chr4-94"	"chr4"	94000001	95000000	"."	1000000	1387	1250	900	688	1057	1156	1290	1128	1240	805	1969	640	682	216	3203	2227	830	1205	861	0.375859	2	"neutral"	786	22734	1196.52631578947	0.994355597365945	0.049949816226091	0.0025233898037452	FALSE	1.00579346299271	0.994355597365945	0.00249498414102026	0.049949816226091	0.0657889315979563	FALSE	FALSE
"787"	"chr4-95"	"chr4"	95000001	96000000	"."	1000000	1307	1340	901	745	1146	1139	1254	1003	1282	721	1842	632	746	192	3003	2145	771	1224	808	0.368308	2	"neutral"	787	22201	1168.47368421053	0.962264150943396	0.060109298884307	0.003902066906931	FALSE	0.985575442438923	0.962264150943396	0.00361312781236295	0.060109298884307	0.0944184766467367	FALSE	FALSE
"788"	"chr4-96"	"chr4"	96000001	97000000	"."	1000000	1287	1235	833	756	988	1029	1331	980	1163	751	1825	632	712	194	3013	2192	738	1303	827	0.353237	2	"neutral"	788	21789	1146.78947368421	0.962247585601405	0.0511284836559832	0.00282326838872963	FALSE	0.964174173526758	0.962247585601405	0.00261412184096015	0.0511284836559832	0.0762545792272298	FALSE	FALSE
"789"	"chr4-97"	"chr4"	97000001	98000000	"."	1000000	1376	1223	790	689	1012	1144	1261	945	1202	700	1958	593	717	217	3082	2226	710	1131	800	0.357306	2	"neutral"	789	21776	1146.10526315789	0.959665144596651	0.0676987029971536	0.00497646843793299	FALSE	0.950275546334136	0.959440415435581	0.00356782285966831	0.0597312552996194	0.061856798036156	FALSE	FALSE
"790"	"chr4-98"	"chr4"	98000001	99000000	"."	1000000	1367	1262	906	701	1050	1017	1442	953	1285	800	2004	532	728	241	3142	2175	836	1226	764	0.388791	2	"neutral"	790	22431	1180.57894736842	0.982352941176471	0.0713322300130551	0.00527274177692147	FALSE	0.981529222582324	0.981060863651819	0.00289383416737843	0.0537943692906463	0.0717228055743443	FALSE	FALSE
"791"	"chr4-99"	"chr4"	99000001	100000000	"."	1000000	1409	1228	934	725	1038	1119	1291	1074	1208	784	2011	597	749	194	3273	2344	804	1252	821	0.38421	2	"neutral"	791	22855	1202.89473684211	0.989156626506024	0.0328891710083948	0.00110554321726843	FALSE	1.00014913299926	0.989156626506024	0.00108169756961944	0.0328891710083948	0.033911652309207	FALSE	FALSE
"792"	"chr4-100"	"chr4"	100000001	101000000	"."	1000000	1238	1178	904	755	1064	1042	1346	1020	1328	764	1933	605	697	233	2988	2186	797	1233	847	0.370693	2	"neutral"	792	22158	1166.21052631579	0.989637305699482	0.0571793439577383	0.00333830659131235	FALSE	0.980581402333909	0.986793961491716	0.00179616661138161	0.0423812058745573	0.0652963719283783	FALSE	FALSE
"793"	"chr4-101"	"chr4"	101000001	102000000	"."	1000000	1363	1281	945	746	1112	1115	1337	966	1268	838	1890	543	724	220	3061	2210	675	1159	895	0.363089	2	"neutral"	793	22348	1176.21052631579	1.00539083557951	0.0718837975078833	0.00511201571095711	FALSE	1.0006297247875	1.00713657248998	0.00391153062234127	0.0625422307112664	0.0937290286696865	FALSE	FALSE
"794"	"chr4-102"	"chr4"	102000001	103000000	"."	1000000	1344	1257	1042	695	1069	997	1282	1111	1298	866	2038	543	682	163	3122	2274	765	1291	921	0.381572	2	"neutral"	794	22760	1197.89473684211	0.994818652849741	0.0722172667124305	0.0052698014781785	FALSE	1.00334509397756	0.996531363299322	0.00337222597891338	0.0580708703130354	0.0598518659943251	FALSE	FALSE
"795"	"chr4-103"	"chr4"	103000001	104000000	"."	1000000	1354	1165	895	764	1092	1018	1408	1032	1180	761	1916	621	693	231	3217	2377	753	1248	845	0.365954	2	"neutral"	795	22570	1187.89473684211	0.985751295336788	0.0566872506130292	0.00330701431410752	FALSE	0.988331080142138	0.985063147668394	0.00205958302609083	0.0453826291227252	0.0766987785695822	FALSE	FALSE
"796"	"chr4-104"	"chr4"	104000001	105000000	"."	1000000	1356	1240	931	750	1055	1125	1280	985	1229	805	1912	619	744	219	3031	2166	752	1159	880	0.356204	2	"neutral"	796	22238	1170.42105263158	0.986356340288925	0.0571758156157746	0.00336013755020595	FALSE	0.992926096816072	0.986356340288925	0.00326907389132905	0.0571758156157746	0.101904844716232	FALSE	FALSE
"797"	"chr4-105"	"chr4"	105000001	106000000	"."	1000000	1239	1224	950	756	1016	1041	1317	963	1304	762	1862	572	715	223	2937	2212	755	1217	910	0.370332	2	"neutral"	797	21975	1156.57894736842	0.971027216856892	0.0598671726022267	0.00380114721614322	FALSE	0.981078326125431	0.971027216856892	0.0035840783553848	0.0598671726022267	0.0653154476391999	FALSE	FALSE
"798"	"chr4-106"	"chr4"	106000001	107000000	"."	1000000	1445	1252	884	708	1144	1069	1282	1008	1270	741	1880	598	696	218	2957	2223	761	1243	782	0.363452	2	"neutral"	798	22161	1166.36842105263	0.97585601404741	0.0525796688485931	0.00290311478261419	FALSE	0.982853843153381	0.97585601404741	0.00276462157622771	0.0525796688485931	0.0755730558673812	FALSE	FALSE
"799"	"chr4-107"	"chr4"	107000001	108000000	"."	1000000	1389	1238	935	747	1080	1078	1271	990	1255	763	2059	597	725	207	3193	2395	881	1242	829	0.375989	2	"neutral"	799	22874	1203.89473684211	1.00722311396469	0.0372141712127574	0.00136510273182426	FALSE	1.00488607308985	1.00722311396469	0.00138489453905242	0.0372141712127574	0.0432645356168648	FALSE	FALSE
"800"	"chr4-108"	"chr4"	108000001	109000000	"."	1000000	1312	1223	979	737	1055	1154	1309	1109	1238	828	2076	683	689	216	3221	2320	879	1327	807	0.397736	2	"neutral"	800	23162	1219.05263157895	1.01764705882353	0.0530819048853961	0.00272081263319786	FALSE	1.02510298118756	1.01764705882353	0.00281768862626224	0.0530819048853961	0.0651826172175063	FALSE	FALSE
"801"	"chr4-109"	"chr4"	109000001	110000000	"."	1000000	1381	1275	922	758	1057	1040	1326	1073	1364	827	2036	587	658	178	3214	2303	837	1218	810	0.388377	2	"neutral"	801	22864	1203.36842105263	0.998039215686275	0.04600137942841	0.00212444991764441	FALSE	0.997402521817398	0.998039215686275	0.00211612690931654	0.04600137942841	0.0345392874054911	FALSE	FALSE
"802"	"chr4-110"	"chr4"	110000001	111000000	"."	1000000	1312	1389	965	706	1126	1057	1391	1082	1256	774	2003	621	714	177	3078	2297	794	1244	782	0.387617	2	"neutral"	802	22768	1198.31578947368	1.00259067357513	0.0497466617139119	0.00246195757118411	FALSE	0.997536138373872	1.00259067357513	0.00247473035167839	0.0497466617139119	0.043022184121658	FALSE	FALSE
"803"	"chr4-111"	"chr4"	111000001	112000000	"."	1000000	1260	1236	914	742	1063	1164	1236	891	1306	744	1851	642	724	201	3019	2096	714	1221	846	0.357337	2	"neutral"	803	21870	1151.05263157895	0.963730569948187	0.07128885993403	0.00547182335130626	FALSE	0.973238391012253	0.963730569948187	0.00291523773966969	0.0539929415726693	0.0673575129533679	FALSE	FALSE
"804"	"chr4-112"	"chr4"	112000001	113000000	"."	1000000	1269	1191	1006	717	1066	1090	1331	1073	1384	763	1975	556	671	230	3217	2228	795	1167	852	0.392964	2	"neutral"	804	22581	1188.47368421053	0.988341968911917	0.0587088078522941	0.00352851565026461	FALSE	0.997306054385582	0.988341968911917	0.00344672411943759	0.0587088078522941	0.0600056707988647	FALSE	FALSE
"805"	"chr4-113"	"chr4"	113000001	114000000	"."	1000000	1296	1234	962	734	974	1036	1303	1011	1237	762	1834	571	746	176	3050	2109	694	1251	932	0.366452	2	"neutral"	805	21912	1153.26315789474	0.967843137254902	0.0627167794613029	0.00419911286756547	FALSE	0.958306975166872	0.967819873712197	0.00265521769785132	0.0515288045451407	0.0635027498370414	FALSE	FALSE
"806"	"chr4-114"	"chr4"	114000001	115000000	"."	1000000	1336	1276	898	702	1143	1022	1284	1002	1216	705	1817	625	648	211	2980	2169	739	1275	796	0.359735	2	"neutral"	806	21844	1149.68421052632	0.959036144578313	0.0522198280673635	0.00296483770051251	FALSE	0.967847326142771	0.959036144578313	0.00272691044338501	0.0522198280673635	0.0724363189889771	FALSE	FALSE
"807"	"chr4-115"	"chr4"	115000001	116000000	"."	1000000	1312	1171	726	697	1082	1000	1326	964	1321	674	1914	616	736	249	2887	2036	721	1097	811	0.342337	2	"neutral"	807	21340	1123.15789473684	0.939353099730458	0.100570656039786	0.0114626444232549	FALSE	0.951771751183697	0.939353099730458	0.00429645454725324	0.0655473458444599	0.119008963301201	FALSE	FALSE
"808"	"chr4-116"	"chr4"	116000001	117000000	"."	1000000	1278	1225	794	697	1119	1010	1395	936	1217	713	1771	539	679	246	2936	2007	727	1046	836	0.34327	2	"neutral"	808	21171	1114.26315789474	0.939353099730458	0.0927298918834569	0.00974499815466852	FALSE	0.932796463501362	0.931464114632068	0.00457737168141871	0.0676562759943134	0.0857312318025832	FALSE	FALSE
"809"	"chr4-117"	"chr4"	117000001	118000000	"."	1000000	1304	1271	838	730	1105	1027	1353	976	1235	716	1863	569	724	209	3048	2188	763	1194	848	0.350694	2	"neutral"	809	21961	1155.84210526316	0.965210954848261	0.0476403464733396	0.00243615736220269	FALSE	0.970874669711288	0.965210954848261	0.00226960261209984	0.0476403464733396	0.0716604268275115	FALSE	FALSE
"810"	"chr4-118"	"chr4"	118000001	119000000	"."	1000000	1420	1252	997	774	1051	1058	1262	1134	1301	796	2043	564	704	201	3206	2210	741	1232	878	0.383535	2	"neutral"	810	22824	1201.26315789474	1	0.0400734692740169	0.00160588293965558	FALSE	1.00344205291774	1	0.00160588293965558	0.0400734692740169	0.0675789492987353	FALSE	FALSE
"811"	"chr4-119"	"chr4"	119000001	120000000	"."	1000000	1388	1297	952	748	1022	1118	1367	991	1341	772	1943	576	722	206	3103	2209	700	1154	894	0.376206	2	"neutral"	811	22503	1184.36842105263	1.0031612223393	0.0588893104795879	0.00344612849371658	FALSE	0.993208764386524	1.0031612223393	0.0034679508887613	0.0588893104795879	0.0690381583089232	FALSE	FALSE
"812"	"chr4-120"	"chr4"	120000001	121000000	"."	1000000	1385	1187	901	728	1081	1116	1321	997	1226	816	1943	590	738	226	2998	2168	769	1148	797	0.366975	2	"neutral"	812	22135	1165	0.981132075471698	0.0586012936241076	0.00356746284204979	FALSE	0.986809756016371	0.981132075471698	0.00343411161441888	0.0586012936241076	0.071648296291456	FALSE	FALSE
"813"	"chr4-121"	"chr4"	121000001	122000000	"."	1000000	1302	1282	1000	689	1049	1075	1221	1089	1279	813	2007	590	777	196	3334	2324	842	1262	796	0.381262	2	"neutral"	813	22927	1206.68421052632	1.00461254612546	0.0442166907474642	0.001937203643205	FALSE	1.0042396481061	1.00461254612546	0.00195511574065688	0.0442166907474642	0.0540048320753872	FALSE	FALSE
"814"	"chr4-122"	"chr4"	122000001	123000000	"."	1000000	1398	1255	943	749	1053	1083	1349	1083	1252	743	2016	612	756	209	3224	2247	703	1164	838	0.377611	2	"neutral"	814	22677	1193.52631578947	0.999077490774908	0.0464227068980015	0.00215904936424841	FALSE	0.997516763278187	0.999077490774908	0.00215506771573776	0.0464227068980015	0.0433314124706277	FALSE	FALSE
"815"	"chr4-123"	"chr4"	123000001	124000000	"."	1000000	1401	1325	1015	692	1037	1049	1299	1035	1288	836	2060	590	774	228	3395	2201	742	1250	939	0.380335	2	"neutral"	815	23156	1218.73684210526	1.01059730250482	0.0618356609934417	0.00374387849644532	FALSE	1.02115331755257	1.01059730250482	0.00382364897049584	0.0618356609934417	0.077236280519088	FALSE	FALSE
"816"	"chr4-124"	"chr4"	124000001	125000000	"."	1000000	1278	1147	813	768	1035	1062	1267	1023	1252	722	1801	590	753	195	3037	2275	790	1252	850	0.359395	2	"neutral"	816	21910	1153.15789473684	0.973659454374412	0.0539271733096618	0.003067617047382	FALSE	0.969232599879071	0.973659454374412	0.0029081400211703	0.0539271733096618	0.0629276557093283	FALSE	FALSE
"817"	"chr4-125"	"chr4"	125000001	126000000	"."	1000000	1277	1234	896	753	1024	1126	1217	920	1395	723	1764	621	777	177	2908	2123	705	1209	822	0.353185	2	"neutral"	817	21671	1140.57894736842	0.945225758697261	0.0810065975617479	0.00734462600739153	FALSE	0.953634682753506	0.944688748684774	0.00541340668240293	0.0735758566542241	0.0830379431579104	FALSE	FALSE
"818"	"chr4-126"	"chr4"	126000001	127000000	"."	1000000	1333	1125	772	689	1116	1045	1354	1045	1331	687	1772	639	727	228	2993	2060	740	1258	840	0.351964	2	"neutral"	818	21754	1144.94736842105	0.986676535899334	0.083631982438289	0.00718447738940061	FALSE	0.972335552007676	0.986676535899334	0.00476321410570804	0.0690160423793486	0.116861153390834	FALSE	FALSE
"819"	"chr4-127"	"chr4"	127000001	128000000	"."	1000000	1377	1325	937	728	1103	1077	1285	1062	1392	808	1935	546	723	195	3069	2229	789	1256	788	0.375532	2	"neutral"	819	22624	1190.73684210526	0.981132075471698	0.0465353905284458	0.00224963353687966	FALSE	0.995908663563549	0.981132075471698	0.00216554257163496	0.0465353905284458	0.0625701409856786	FALSE	FALSE
"820"	"chr4-128"	"chr4"	128000001	129000000	"."	1000000	1346	1331	941	733	1082	1048	1264	1099	1124	804	1998	569	727	186	3339	2224	816	1366	832	0.402102	2	"neutral"	820	22829	1201.52631578947	1.00240963855422	0.0416165255974732	0.00172361859919977	FALSE	0.99735521243325	1.00240963855422	0.00173193520280514	0.0416165255974732	0.0440656155678354	FALSE	FALSE
"821"	"chr4-129"	"chr4"	129000001	130000000	"."	1000000	1261	1178	913	750	1075	1039	1342	1040	1243	696	1884	622	680	197	3087	2195	728	1317	793	0.3637	2	"neutral"	821	22040	1160	0.963564530289728	0.0443464338209809	0.0021181455160072	FALSE	0.970676518175841	0.963564530289728	0.00196660619263864	0.0443464338209809	0.0649147910308607	FALSE	FALSE
"822"	"chr4-130"	"chr4"	130000001	131000000	"."	1000000	1328	1149	847	720	1036	1097	1288	940	1229	664	1671	580	756	221	3029	2075	727	1079	823	0.34823	2	"neutral"	822	21259	1118.89473684211	0.970350404312669	0.0772421343927289	0.00633652787218561	FALSE	0.940405036043477	0.950530863548253	0.0050016000258314	0.0707219911048282	0.0892604826083904	FALSE	FALSE
"823"	"chr4-131"	"chr4"	131000001	132000000	"."	1000000	1326	1233	761	712	993	1096	1307	934	1316	708	1934	539	704	185	3198	2056	724	1250	781	0.35644	2	"neutral"	823	21757	1145.10526315789	0.948039215686274	0.0621244294577482	0.00429410067144726	FALSE	0.955991317504139	0.953803974419957	0.00276321227318863	0.0525662655434893	0.066532357953592	FALSE	FALSE
"824"	"chr4-132"	"chr4"	132000001	133000000	"."	1000000	1251	1118	747	678	1012	1006	1377	911	1216	629	1794	634	754	208	2968	2099	703	1098	857	0.344758	2	"neutral"	824	21060	1108.42105263158	0.921422300263389	0.0865987992678417	0.00883296079956471	FALSE	0.942698226367461	0.923701527629844	0.00659205050655301	0.0811914435550509	0.138757966085533	TRUE	TRUE
"825"	"chr4-133"	"chr4"	133000001	134000000	"."	1000000	1290	1168	817	699	1043	1026	1272	948	1295	677	1804	578	790	216	2921	2069	699	1087	810	0.346278	2	"neutral"	825	21209	1116.26315789474	0.942048517520216	0.0750648059637408	0.00634930502978701	FALSE	0.935268751916459	0.929063474446382	0.00401972756569002	0.0634013214822059	0.0999359810677629	FALSE	FALSE
"826"	"chr4-134"	"chr4"	134000001	135000000	"."	1000000	1312	1179	739	740	1100	1088	1243	998	1223	673	1843	594	711	251	3047	2066	751	1202	761	0.344793	2	"neutral"	826	21521	1132.68421052632	0.944968553459119	0.0922615567585777	0.00953250065829526	FALSE	0.955787161356994	0.944968553459119	0.00251571612912517	0.0501569150678665	0.0766403755681762	FALSE	FALSE
"827"	"chr4-135"	"chr4"	135000001	136000000	"."	1000000	1210	1099	817	701	1008	1010	1360	952	1275	620	1832	550	712	218	2898	2019	658	1139	850	0.342362	2	"neutral"	827	20928	1101.47368421053	0.898039215686275	0.0777295221911359	0.00749171749717874	FALSE	0.920799992688601	0.896836040115528	0.00499890773285647	0.0707029542017621	0.0865861662312321	FALSE	FALSE
"828"	"chr4-136"	"chr4"	136000001	137000000	"."	1000000	1277	1238	771	715	1101	1063	1310	968	1258	739	1848	548	675	212	2914	2100	737	1223	841	0.348657	2	"neutral"	828	21538	1133.57894736842	0.958806818181818	0.0590682030680995	0.00379529283992029	FALSE	0.963407350340769	0.960142402801601	0.0024240978826055	0.0492351285425914	0.0828627277569456	FALSE	FALSE
"829"	"chr4-137"	"chr4"	137000001	138000000	"."	1000000	1335	1134	929	719	1029	1125	1302	966	1264	652	1948	556	767	163	2899	2173	764	1119	847	0.351572	2	"neutral"	829	21691	1141.63157894737	0.954901960784314	0.0739046362423207	0.00598998586086015	FALSE	0.960732765630932	0.961458506262336	0.00446494360011457	0.0668202334634845	0.0862387612130399	FALSE	FALSE
"830"	"chr4-138"	"chr4"	138000001	139000000	"."	1000000	1318	1356	997	733	992	1076	1346	1110	1278	852	1984	611	693	216	3168	2319	785	1309	878	0.387473	2	"neutral"	830	23021	1211.63157894737	1.02435312024353	0.0428595773873892	0.00175063811407185	FALSE	1.01759560521242	1.02435312024353	0.0018369433738256	0.0428595773873892	0.0636198857392762	FALSE	FALSE
"831"	"chr4-139"	"chr4"	139000001	140000000	"."	1000000	1380	1323	1051	737	1153	1041	1346	1165	1117	783	1978	557	641	190	3259	2113	864	1403	878	0.41606	2	"neutral"	831	22979	1209.42105263158	1.01424870466321	0.064682271306084	0.00406706955623657	FALSE	1.00939067678925	1.01424870466321	0.00418379622131386	0.064682271306084	0.105411176110223	FALSE	FALSE
"832"	"chr4-140"	"chr4"	140000001	141000000	"."	1000000	1450	1389	1023	734	1074	1007	1389	1069	1297	872	2005	567	743	183	3312	2190	883	1247	906	0.399761	2	"neutral"	832	23340	1228.42105263158	1.01766784452297	0.0592769664500541	0.00339281231494204	FALSE	1.02475500335162	1.01766784452297	0.00351375875152084	0.0592769664500541	0.0940334105259608	FALSE	FALSE
"833"	"chr4-141"	"chr4"	141000001	142000000	"."	1000000	1279	1198	1025	786	1032	1075	1354	1109	1270	773	2084	588	732	227	3125	2219	757	1297	865	0.374544	2	"neutral"	833	22795	1199.73684210526	1.01965408805031	0.0494014232696727	0.00234732483114779	FALSE	1.01150815269198	1.01965408805031	0.00244050062106936	0.0494014232696727	0.0652404292403437	FALSE	FALSE
"834"	"chr4-142"	"chr4"	142000001	143000000	"."	1000000	1345	1250	978	661	1071	1047	1315	960	1240	792	1878	669	730	201	3057	2285	776	1211	820	0.366222	2	"neutral"	834	22286	1172.94736842105	0.995184590690209	0.0564426330571097	0.00321667545548228	FALSE	0.978554467791536	0.995117047820352	0.00202836805729367	0.0450374073109639	0.0528734286614789	FALSE	FALSE
"835"	"chr4-143"	"chr4"	143000001	144000000	"."	1000000	1402	1221	925	739	1046	1118	1395	1155	1263	782	1942	598	714	236	3239	2250	743	1294	748	0.382568	2	"neutral"	835	22810	1200.52631578947	1.01295336787565	0.0603076474306818	0.00354458886588611	FALSE	0.998852039024936	1.00445512059551	0.00225055273280697	0.0474399908601063	0.0394882870451263	FALSE	FALSE
"836"	"chr4-144"	"chr4"	144000001	145000000	"."	1000000	1308	1287	900	687	1051	1020	1314	1043	1246	713	1929	589	731	192	3231	2157	705	1174	763	0.372912	2	"neutral"	836	22040	1160	0.962177121771218	0.0406469528666286	0.00178462073795563	FALSE	0.962839745425534	0.962177121771218	0.00165217477734193	0.0406469528666286	0.0598100337150762	FALSE	FALSE
"837"	"chr4-145"	"chr4"	145000001	146000000	"."	1000000	1379	1301	975	788	1085	1120	1287	1099	1315	751	2104	625	670	141	3340	2320	782	1215	871	0.39497	2	"neutral"	837	23168	1219.36842105263	1.02069614299153	0.0820661157355712	0.00646449805891516	FALSE	1.01715524987921	1.02071076579628	0.00145530644103854	0.0381484788823688	0.056842879336	FALSE	FALSE
"838"	"chr4-146"	"chr4"	146000001	147000000	"."	1000000	1388	1139	926	813	1031	1047	1317	1059	1316	821	2006	567	735	215	3293	2231	831	1205	808	0.382327	2	"neutral"	838	22748	1197.26315789474	1.00228310502283	0.0488627525094706	0.00237670366591614	FALSE	1.0031734649985	1.00228310502283	0.00238756858280178	0.0488627525094706	0.061081636795757	FALSE	FALSE
